,        Gross domestic product,Exports of goods and services and income receipts (credits),Imports of goods and services and income payments (debits),Net U.S. acquisition of financial assets excluding financial derivatives (net increase in assets / financial outflow (+)),  Direct investment assets,  Portfolio investment assets,Net U.S. incurrence of liabilities excluding financial derivatives (net increase in liabilities / financial inflow (+)),  Direct investment liabilities,  Portfolio investment liabilities
1960,542.6,7355,7005,1066,664,266,926,89,197
,541.1,7762,7232,1156,586,166,912,102,27
,545.6,7650,6814,956,754,111,381,93,138
,540.2,7791,6683,923,936,120,77,31,211
1961,545,7827,6588,1320,774,135,435,68,88
,555.5,7773,6867,1029,551,246,620,86,-195
,567.7,7757,6913,1928,737,124,934,58,589
,580.6,8047,7214,1260,592,257,715,99,227
1962,594,8015,7369,1301,545,196,737,89,133
,600.4,8719,7674,1461,716,308,675,130,451
,609,8295,7334,279,811,87,-277,59,627
,612.3,8315,7583,1134,779,378,779,68,267
1963,621.7,8428,7585,1922,980,522,1191,40,133
,629.8,9244,8045,2631,874,536,1527,108,686
,644.4,8832,7811,887,721,100,205,105,169
,653.9,9275,7925,1831,908,-53,295,-22,-35
1964,669.8,9885,7975,2086,822,-20,462,87,-681
,678.7,9975,8448,2018,970,206,630,109,-114
,692,10009,8284,2255,1018,-2,769,56,519
,697.3,10299,8637,3200,949,494,1781,70,477
1965,717.8,9689,8432,1576,1606,198,208,184,-726
,730.2,11263,9686,1270,1250,147,-330,-21,-496
,749.3,10625,9320,1454,1030,209,587,147,-6
,771.9,11149,9860,1416,1125,205,280,104,598
1966,795.7,11190,10208,1465,1115,437,458,143,-694
,805,11726,10937,1967,1373,115,961,133,-37
,819.6,11470,10985,1681,1314,115,909,-37,-253
,833.3,12068,11292,2208,1616,53,1332,187,7
1967,844.2,12439,11563,1203,1186,265,401,169,517
,849,12275,11608,2339,964,261,1884,174,356
,865.2,12134,11571,3155,1359,419,2513,127,1013
,881.4,12506,12032,3060,1297,363,2584,228,1258
1968,909.4,13016,12820,1299,981,449,1374,367,-19
,934.3,13577,13248,2427,1172,283,2192,133,-192
,950.8,14195,14056,3447,1573,318,2809,148,1698
,968,14126,14177,3803,1568,519,3550,160,2293
1969,993.3,12921,12799,2595,1556,366,3664,359,-19
,1009,15492,15623,3428,1663,498,3896,267,-255
,1030,15439,15391,3361,1548,546,3833,261,2330
,1038.1,16279,15922,2199,1192,139,1311,376,-1337
1970,1051.2,16461,15841,3478,1958,306,3027,592,2078
,1067.4,17419,16447,1725,2144,-80,848,212,2077
,1086.1,17267,16752,2146,1718,517,1940,357,3456
,1088.6,17241,17019,1989,1771,333,1413,303,4099
1971,1135.2,17980,17297,3464,2033,408,3809,196,5534
,1156.3,18163,18572,2534,1949,368,5154,140,7363
,1177.7,18676,19212,3390,2308,346,8726,-293,10555
,1190.3,17564,18737,3084,1327,-9,5997,324,5383
1972,1230.6,19757,21450,4295,2187,476,5077,-136,4098
,1266.4,19427,21116,2125,1481,318,4277,373,1074
,1290.6,20788,22073,3952,2435,-203,6382,310,6092
,1328.9,22015,23145,4125,1644,28,6437,403,1859
1973,1377.5,24681,24536,7886,3785,-55,10743,631,10373
,1413.9,27127,26254,4154,2691,86,3056,835,-2174
,1433.8,29329,26592,3189,2159,196,2168,539,-594
,1476.3,31912,28529,7646,2718,445,2423,795,-2815
1974,1491.2,34698,33086,5914,-900,600,6444,1784,-278
,1530.1,37295,37185,10318,1790,272,9897,539,3269
,1560,37385,37680,7694,4385,282,9310,1610,-88
,1599.7,39105,38574,10818,3776,699,9577,828,2597
1975,1616.1,40047,35840,10576,4022,1931,2701,278,7263
,1651.9,38675,33661,9591,3990,985,4307,870,1288
,1709.8,38347,34267,5099,1495,938,2934,86,564
