xDatex,CUSR0000SA0,CUSR0000SAF1,CUSR0000SAH,CUSR0000SETB01
Jan-67,32.9,33.9,30.5,26.3
Feb-67,33,33.8,30.5,26.2
Mar-67,33,33.8,30.5,26.1
Apr-67,33.1,33.7,30.6,26.4
May-67,33.1,33.7,30.7,26.4
Jun-67,33.3,34,30.7,26.4
Jul-67,33.4,34.1,30.8,26.4
Aug-67,33.5,34.3,30.9,26.4
Sep-67,33.6,34.3,31,26.7
Oct-67,33.7,34.4,31,26.4
Nov-67,33.9,34.5,31.1,26.8
Dec-67,34,34.6,31.2,26.4
Jan-68,34.1,34.6,31.3,26.8
Feb-68,34.2,34.8,31.4,26.9
Mar-68,34.3,34.9,31.5,26.8
Apr-68,34.4,35,31.6,26.5
May-68,34.5,35.1,31.7,26.6
Jun-68,34.7,35.2,31.9,26.7
Jul-68,34.9,35.3,32.1,26.8
Aug-68,35,35.4,32.3,27
Sep-68,35.1,35.6,32.4,26.9
Oct-68,35.3,35.9,32.5,26.9
Nov-68,35.4,35.9,32.7,27.1
Dec-68,35.6,36,32.9,26.9
Jan-69,35.7,36.1,33,27.1
Feb-69,35.8,36.1,33.1,27.2
Mar-69,36.1,36.2,33.4,27.7
Apr-69,36.3,36.4,33.6,27.9
May-69,36.4,36.6,33.7,27.8
Jun-69,36.6,37,33.9,28
Jul-69,36.8,37.3,34.1,27.8
Aug-69,36.9,37.5,34.3,27.8
Sep-69,37.1,37.7,34.5,27.7
Oct-69,37.3,37.8,34.7,27.8
Nov-69,37.5,38.2,34.8,27.5
Dec-69,37.7,38.6,35,27.7
Jan-70,37.9,38.7,35.1,27.6
Feb-70,38.1,38.9,35.4,27.8
Mar-70,38.3,38.9,35.8,27.2
Apr-70,38.5,39,35.9,28.3
May-70,38.6,39.2,36.1,28.1
Jun-70,38.8,39.2,36.3,27.8
Jul-70,38.9,39.2,36.5,28
Aug-70,39,39.2,36.6,27.5
Sep-70,39.2,39.4,36.9,27.7
Oct-70,39.4,39.5,37.1,28.1
Nov-70,39.6,39.5,37.3,28.2
Dec-70,39.8,39.5,37.4,28.4
Jan-71,39.9,39.4,37.5,28.5
Feb-71,39.9,39.5,37.5,28.2
Mar-71,40,39.8,37.4,27.9
Apr-71,40.1,40.1,37.4,27.5
May-71,40.3,40.3,37.6,27.5
Jun-71,40.5,40.5,37.9,27.7
Jul-71,40.6,40.6,38.1,27.3
Aug-71,40.7,40.6,38.2,28.4
Sep-71,40.8,40.6,38.4,28.6
Oct-71,40.9,40.7,38.5,28.7
Nov-71,41,40.9,38.6,28.4
Dec-71,41.1,41.3,38.7,28.5
Jan-72,41.2,41.1,38.9,28.3
Feb-72,41.4,41.7,39,28.1
Mar-72,41.4,41.6,39,28.1
Apr-72,41.5,41.6,39.1,27.8
May-72,41.6,41.7,39.2,28
Jun-72,41.7,41.9,39.4,27.8
Jul-72,41.8,42.1,39.6,28
Aug-72,41.9,42.2,39.7,28.4
Sep-72,42.1,42.5,39.8,29
Oct-72,42.2,42.8,39.8,29.1
Nov-72,42.4,43,39.9,29.3
Dec-72,42.5,43.2,40.1,29.3
Jan-73,42.7,44,40.1,29.4
Feb-73,43,44.6,40.2,29.6
Mar-73,43.4,45.8,40.4,29.7
Apr-73,43.7,46.5,40.5,30.2
May-73,43.9,47.1,40.6,30.4
Jun-73,44.2,47.6,40.9,31.1
Jul-73,44.2,47.7,41,31
Aug-73,45,50.5,41.3,31
Sep-73,45.2,50.4,41.7,30.8
Oct-73,45.6,50.7,42.1,32.2
Nov-73,45.9,51.4,42.5,33.7
Dec-73,46.3,51.9,42.8,35.2
Jan-74,46.8,52.5,43.3,37.2
Feb-74,47.3,53.6,43.6,39.3
Mar-74,47.8,54.2,44.1,42.2
Apr-74,48.1,54.1,44.4,42.8
May-74,48.6,54.5,44.9,43.6
Jun-74,49,54.5,45.4,43.7
Jul-74,49.3,54.3,45.9,43.7
Aug-74,49.9,55.1,46.5,43.5
Sep-74,50.6,56.2,47.1,43.3
Oct-74,51,56.8,47.7,42.6
Nov-74,51.5,57.5,48.1,42.4
Dec-74,51.9,58.2,48.6,42.5
Jan-75,52.3,58.4,49,42.8
Feb-75,52.6,58.5,49.4,42.8
Mar-75,52.8,58.4,49.7,43
Apr-75,53,58.3,50,43
May-75,53.1,58.6,50.2,43.5
Jun-75,53.5,59.2,50.5,44.5
Jul-75,54,60.3,50.7,46.1
Aug-75,54.2,60.3,51,46.6
Sep-75,54.6,60.7,51.3,47
Oct-75,54.9,61.3,51.5,47.4
Nov-75,55.3,61.7,52,47.4
Dec-75,55.6,62.1,52.3,47.2
Jan-76,55.8,61.9,52.6,47.1
Feb-76,55.9,61.3,52.8,46.8
Mar-76,56,60.9,52.9,46.3
Apr-76,56.1,60.9,53.1,45.8
May-76,56.4,61.1,53.2,46.1
Jun-76,56.7,61.3,53.5,46.7
Jul-76,57,61.6,53.8,46.8
Aug-76,57.3,61.8,54.1,46.9
Sep-76,57.6,62.1,54.4,47.2
Oct-76,57.9,62.4,54.6,47.8
Nov-76,58.1,62.3,54.8,48.2
Dec-76,58.4,62.5,55.1,48.3
Jan-77,58.7,62.7,55.6,48.5
Feb-77,59.3,63.9,55.9,49.2
Mar-77,59.6,64.2,56.2,49.7
Apr-77,60,65,56.5,49.7
May-77,60.2,65.3,56.8,50.1
Jun-77,60.5,65.7,57.1,49.8
Jul-77,60.8,65.9,57.6,49.4
Aug-77,61.1,66.2,57.9,49.4
Sep-77,61.3,66.4,58.3,49.6
Oct-77,61.6,66.6,58.6,50.1
Nov-77,62,67.1,59,50.5
Dec-77,62.3,67.4,59.4,50.9
Jan-78,62.7,67.9,59.7,50.9
Feb-78,63,68.6,60.1,50.6
Mar-78,63.4,69.5,60.5,50.8
Apr-78,63.9,70.6,61,50.5
May-78,64.5,71.6,61.6,50.5
Jun-78,65,72.7,62.1,50.7
Jul-78,65.5,73,62.7,51.1
Aug-78,65.9,73.3,63.1,51.8
Sep-78,66.5,73.6,63.8,52.6
Oct-78,67.1,74.2,64.5,53.5
Nov-78,67.5,74.7,64.9,54.4
Dec-78,67.9,75.1,65.2,55.4
Jan-79,68.5,76.4,65.7,56
Feb-79,69.2,77.7,66.5,56.4
Mar-79,69.9,78.4,67,59.1
Apr-79,70.6,79,67.7,62.2
May-79,71.4,79.7,68.4,65.3
Jun-79,72.2,80,69.3,69.1
Jul-79,73,80.5,70.2,72.7
Aug-79,73.7,80.4,71.2,76
Sep-79,74.4,80.9,72.1,78.8
Oct-79,75.2,81.5,73.1,80.4
Nov-79,76,82,74.2,81.8
Dec-79,76.9,82.8,75.2,83.9
Jan-80,78,83.3,76.2,89.8
Feb-80,79,83.4,77.2,94.3
Mar-80,80.1,84.1,78.3,99.7
Apr-80,80.9,84.7,79.4,98.7
May-80,81.7,85.2,80.5,98.7
Jun-80,82.5,85.7,82,98.2
Jul-80,82.6,86.6,81.5,97.9
Aug-80,83.2,88,81.8,97.8
Sep-80,83.9,89.1,82.3,97.8
Oct-80,84.7,89.8,83.4,98.6
Nov-80,85.6,90.8,84.4,98.8
Dec-80,86.4,91.3,85.5,99.3
Jan-81,87.2,91.6,86.1,103.6
Feb-81,88,92.1,86.6,110.1
Mar-81,88.6,92.6,87.1,113
Apr-81,89.1,92.8,87.8,110.6
May-81,89.7,92.8,88.8,109
Jun-81,90.5,93.2,89.8,107.8
Jul-81,91.5,93.9,91.3,107.2
Aug-81,92.2,94.4,92.2,107.2
Sep-81,93.1,94.8,93.4,107.7
Oct-81,93.4,95,93.4,108.4
Nov-81,93.8,95.1,93.8,109
Dec-81,94.1,95.3,94.1,108.6
Jan-82,94.4,95.6,94.4,108.2
Feb-82,94.7,96.3,94.7,106.1
Mar-82,94.7,96.2,94.6,103.6
Apr-82,95,96.4,95.4,97.2
May-82,95.9,97.2,96.7,97.8
Jun-82,97,98.1,97.7,102.8
Jul-82,97.5,98.2,98.1,104.3
Aug-82,97.7,98,98.4,104.1
Sep-82,97.7,98.2,98.2,103.3
Oct-82,98.1,98.2,98.6,103.2
Nov-82,98,98.2,98.3,102.9
Dec-82,97.7,98.2,97.5,100.3
Jan-83,97.9,98.1,98,99.1
Feb-83,98,98.2,98.2,95.8
Mar-83,98.1,98.8,98.3,94.2
Apr-83,98.8,99.2,98.9,98.3
May-83,99.2,99.5,99.1,100.5
Jun-83,99.4,99.6,99.3,101.1
Jul-83,99.8,99.6,99.7,101.4
Aug-83,100.1,99.7,99.8,102.1
Sep-83,100.4,100,100.1,101.3
Oct-83,100.8,100.3,100.4,100.7
Nov-83,101.1,100.3,100.8,99.6
Dec-83,101.4,100.6,101,98.7
Jan-84,102.1,102,101.5,99
Feb-84,102.6,102.7,102.1,99.4
Mar-84,102.9,102.9,102.3,100.2
Apr-84,103.3,102.9,102.9,99.8
May-84,103.5,102.7,103.1,99.4
Jun-84,103.7,103.1,103.3,98.2
Jul-84,104.1,103.3,103.9,96.3
Aug-84,104.4,103.9,104.2,95.1
Sep-84,104.7,103.8,104.7,95.9
Oct-84,105.1,104,104.9,97.3
Nov-84,105.3,104.1,105.1,96.9
Dec-84,105.5,104.5,105.3,95.9
Jan-85,105.7,104.7,105.5,96.3
Feb-85,106.3,105.2,106,96.6
Mar-85,106.8,105.5,106.4,98.1
Apr-85,107,105.4,106.7,99.7
May-85,107.2,105.2,107.4,99.3
Jun-85,107.5,105.5,107.6,99.7
Jul-85,107.7,105.5,107.9,100
Aug-85,107.9,105.6,108.3,98.5
Sep-85,108.1,105.8,108.5,98.2
Oct-85,108.5,105.8,108.9,98.1
Nov-85,109,106.5,109.5,98.8
Dec-85,109.5,107.3,109.8,99.5
Jan-86,109.9,107.5,110.1,100.1
Feb-86,109.7,107.3,110,95.6
Mar-86,109.1,107.5,110.3,83.4
Apr-86,108.7,107.7,110.4,74.1
May-86,109,108.2,110.4,75.4
Jun-86,109.4,108.3,110.9,77.9
Jul-86,109.5,109.1,110.9,72.9
Aug-86,109.6,110.1,111.1,68.9
Sep-86,110,110.2,111.5,70.7
Oct-86,110.2,110.5,111.6,69.1
Nov-86,110.4,111.1,111.6,68.4
Dec-86,110.8,111.4,111.9,69
Jan-87,111.4,111.8,112.3,74.1
Feb-87,111.8,112.2,112.7,78.4
Mar-87,112.2,112.4,113,78.5
Apr-87,112.7,112.6,113.5,79.2
May-87,113,113.2,113.8,77.7
Jun-87,113.5,113.9,114.1,79.4
Jul-87,113.8,113.7,114.3,81
Aug-87,114.3,113.9,114.9,83.1
Sep-87,114.7,114.3,115.2,82.5
Oct-87,115,114.5,115.5,82.5
Nov-87,115.4,114.5,115.8,82.6
Dec-87,115.6,115.1,116.1,81.9
Jan-88,116,115.6,116.4,81.1
Feb-88,116.2,115.6,116.8,80.7
Mar-88,116.5,115.8,117.2,79.9
Apr-88,117.2,116.4,117.6,80.4
May-88,117.5,116.9,117.9,80.2
Jun-88,118,117.6,118.3,80
Jul-88,118.5,118.8,118.6,81.1
Aug-88,119,119.4,119,82.6
Sep-88,119.5,120.1,119.5,81.5
Oct-88,119.9,120.3,119.9,80.7
Nov-88,120.3,120.5,120.2,80.7
Dec-88,120.7,121.1,120.6,80.4
Jan-89,121.2,121.6,120.9,81.1
Feb-89,121.6,122.5,121.1,82.6
Mar-89,122.2,123.2,121.5,84.3
Apr-89,123.1,123.9,121.9,93.9
May-89,123.7,124.7,122.3,95.8
Jun-89,124.1,125.1,122.7,94
Jul-89,124.5,125.6,123.3,93.2
Aug-89,124.5,125.9,123.7,89.1
Sep-89,124.8,126.3,123.8,87
Oct-89,125.4,126.8,124.5,87.8
Nov-89,125.9,127.4,124.9,86.1
Dec-89,126.3,127.8,125.4,86
Jan-90,127.5,129.7,126.1,92.9
Feb-90,128,130.8,126.2,93
Mar-90,128.6,131,126.8,92.3
Apr-90,128.9,130.8,127.1,92.8
May-90,129.1,131.1,127.3,91.7
Jun-90,129.9,132.1,128.1,92.6
Jul-90,130.5,132.8,128.7,93.1
Aug-90,131.6,133.2,129.7,100.9
Sep-90,132.5,133.6,130.2,109.3
Oct-90,133.4,134.1,130.6,116.9
Nov-90,133.7,134.5,130.8,117.2
Dec-90,134.2,134.6,131,117.6
Jan-91,134.7,135,132,110.9
Feb-91,134.8,135.1,132.4,102.5
Mar-91,134.8,135.3,132.6,97.8
Apr-91,135.1,136.1,132.7,97.7
May-91,135.6,136.6,133.1,99.2
Jun-91,136,137.4,133.2,98.2
Jul-91,136.2,136.7,133.6,96.5
Aug-91,136.6,136.2,133.8,97.5
Sep-91,137,136.4,134.3,97.6
Oct-91,137.2,136.2,134.7,96.8
Nov-91,137.8,136.7,135.2,97.7
