Date,US_P,US_R,MX_P,MX_R
Jan 1976,55.8,4.87,0.023319000000,11.86
Feb 1976,55.9,4.77,0.023755000000,11.83
Mar 1976,56,4.84,0.023988000000,11.78
Apr 1976,56.1,4.82,0.024156000000,11.79
May 1976,56.4,5.29,0.024325000000,11.78
Jun 1976,56.7,5.48,0.024423000000,11.76
Jul 1976,57,5.31,0.024629000000,11.74
Aug 1976,57.3,5.29,0.024865000000,11.74
Sep 1976,57.6,5.25,0.025713000000,11.74
Oct 1976,57.9,5.02,0.027161000000,11.96
Nov 1976,58.1,4.95,0.028388000000,12.03
Dec 1976,58.4,4.65,0.029100000000,12.12
Jan 1977,58.7,4.61,0.030027000000,12.05
Feb 1977,59.3,4.68,0.030690000000,12
Mar 1977,59.6,4.69,0.031225000000,11.99
Apr 1977,60,4.73,0.031697000000,12.03
May 1977,60.2,5.35,0.031976000000,11.93
Jun 1977,60.5,5.39,0.032368000000,12.59
Jul 1977,60.8,5.42,0.032734000000,13.25
Aug 1977,61.1,5.9,0.033405000000,13.52
Sep 1977,61.3,6.14,0.033998000000,13.57
Oct 1977,61.6,6.47,0.034258000000,13.64
Nov 1977,62,6.51,0.034632000000,13.93
Dec 1977,62.3,6.56,0.035112000000,14.04
Jan 1978,62.7,6.7,0.035892000000,14.33
Feb 1978,63,6.78,0.036408000000,14.47
Mar 1978,63.4,6.79,0.036787000000,14.62
Apr 1978,63.9,6.89,0.037196000000,14.87
May 1978,64.5,7.36,0.037560000000,15.02
Jun 1978,65,7.6,0.038077000000,15.16
Jul 1978,65.5,7.81,0.038723000000,15.26
Aug 1978,65.9,8.04,0.039109000000,15.29
Sep 1978,66.5,8.45,0.039555000000,15.38
Oct 1978,67.1,8.96,0.040034000000,15.49
Nov 1978,67.5,9.76,0.040446000000,15.81
Dec 1978,67.9,10.03,0.040789000000,15.88
Jan 1979,68.5,10.07,0.042237000000,15.98
Feb 1979,69.2,10.06,0.042845000000,15.97
Mar 1979,69.9,10.09,0.043426000000,15.98
Apr 1979,70.6,10.01,0.043815000000,15.99
May 1979,71.4,10.24,0.044389000000,16.02
Jun 1979,72.2,10.29,0.044881000000,16.04
Jul 1979,73,10.47,0.045425000000,16.08
Aug 1979,73.7,10.94,0.046112000000,16.1
Sep 1979,74.4,11.43,0.046678000000,16.51
Oct 1979,75.2,13.77,0.047493000000,16.69
Nov 1979,76,13.18,0.048104000000,17.37
Dec 1979,76.9,13.78,0.048956000000,17.52
Jan 1980,78,13.82,0.051342000000,17.9
Feb 1980,79,14.13,0.052529000000,18.39
Mar 1980,80.1,17.19,0.053610000000,19.2
Apr 1980,80.9,17.61,0.054547000000,19.83
May 1980,81.7,10.98,0.055437000000,20.39
Jun 1980,82.5,9.47,0.056536000000,20.47
Jul 1980,82.6,9.03,0.058115000000,20.53
Aug 1980,83.2,9.61,0.059319000000,20.82
Sep 1980,83.9,10.87,0.059978000000,21.51
Oct 1980,84.7,12.81,0.060886000000,22.42
Nov 1980,85.6,15.85,0.061942000000,22.77
Dec 1980,86.4,18.9,0.063567000000,24.25
Jan 1981,87.2,19.08,0.065615000000,25.46
Feb 1981,88,15.93,0.067227000000,25.98
Mar 1981,88.6,14.7,0.068665000000,26.59
Apr 1981,89.1,15.72,0.070213000000,26.91
May 1981,89.7,18.52,0.071275000000,27.22
Jun 1981,90.5,19.1,0.072271000000,27.66
Jul 1981,91.5,19.04,0.073544000000,28.42
Aug 1981,92.2,17.82,0.075060000000,29.5
Sep 1981,93.1,15.87,0.076456000000,30.45
Oct 1981,93.4,15.08,0.078153000000,31.22
Nov 1981,93.8,13.31,0.079657000000,31.77
Dec 1981,94.1,12.37,0.081801000000,31.81
Jan 1982,94.4,13.22,0.085866000000,32.34
Feb 1982,94.7,14.78,0.089240000000,33.43
Mar 1982,94.7,14.68,0.092499000000,33.67
Apr 1982,95,14.94,0.097512000000,34.39
May 1982,95.9,14.45,0.102993000000,36.26
Jun 1982,97,14.15,0.107954000000,39.59
Jul 1982,97.5,12.59,0.113517000000,43.23
Aug 1982,97.7,10.12,0.126256000000,46.42
Sep 1982,97.7,10.31,0.132995000000,47.88
Oct 1982,98.1,9.71,0.139890000000,45.99
Nov 1982,98,9.2,0.146963000000,45.51
Dec 1982,97.7,8.95,0.162656000000,46.12
Jan 1983,97.9,8.68,0.180355000000,50.29
Feb 1983,98,8.51,0.190034000000,54.24
Mar 1983,98.1,8.77,0.199232000000,56.16
Apr 1983,98.8,8.8,0.211846000000,57.21
May 1983,99.2,8.63,0.221034000000,58.14
Jun 1983,99.4,8.98,0.229404000000,58.63
Jul 1983,99.8,9.37,0.240746000000,58.73
Aug 1983,100.1,9.56,0.250091000000,58.23
Sep 1983,100.4,9.45,0.257787000000,57.78
Oct 1983,100.8,9.48,0.266341000000,57.14
Nov 1983,101.1,9.34,0.281983000000,56.82
Dec 1983,101.4,9.47,0.294047000000,56.44
Jan 1984,102.1,9.56,0.312728000000,55.95
Feb 1984,102.6,9.59,0.329232000000,55.16
Mar 1984,102.9,9.91,0.343304000000,53.11
Apr 1984,103.3,10.29,0.358156000000,51.1
May 1984,103.5,10.32,0.370032000000,50.12
Jun 1984,103.7,11.06,0.383423000000,50.38
Jul 1984,104.1,11.23,0.395993000000,50.69
Aug 1984,104.4,11.64,0.407249000000,50.93
Sep 1984,104.7,11.3,0.419380000000,50.6
Oct 1984,105.1,9.99,0.434034000000,49.34
Nov 1984,105.3,9.43,0.448929000000,48.31
Dec 1984,105.5,8.38,0.467996000000,47.54
Jan 1985,105.7,8.35,0.502711000000,47.17
Feb 1985,106.3,8.5,0.523596000000,47.33
Mar 1985,106.8,8.58,0.543885000000,49.36
Apr 1985,107,8.27,0.560621000000,51.93
May 1985,107.2,7.97,0.573902000000,53.76
Jun 1985,107.5,7.53,0.588276000000,54.92
Jul 1985,107.7,7.88,0.608763000000,57
Aug 1985,107.9,7.9,0.635377000000,59.06
