observation_date,CPI,P(WTI)
1/1/1980,78,37
2/1/1980,79,37.04
3/1/1980,80.1,39.52
4/1/1980,80.9,39.5
5/1/1980,81.7,39.5
6/1/1980,82.5,39.5
7/1/1980,82.6,39.49
8/1/1980,83.2,38.01
9/1/1980,83.9,36.02
10/1/1980,84.7,36
11/1/1980,85.6,35.98
12/1/1980,86.4,36.99
1/1/1981,87.2,38
2/1/1981,88,38
3/1/1981,88.6,38
4/1/1981,89.1,37.99
5/1/1981,89.7,36.02
6/1/1981,90.5,36
7/1/1981,91.5,35
8/1/1981,92.2,35
9/1/1981,93.1,35
10/1/1981,93.4,35
11/1/1981,93.8,35
12/1/1981,94.1,35
1/1/1982,94.4,35.01
2/1/1982,94.7,34.03
3/1/1982,94.7,33.01
4/1/1982,95,31.99
5/1/1982,95.9,32
6/1/1982,97,32
7/1/1982,97.5,32
8/1/1982,97.7,32
9/1/1982,97.7,32
10/1/1982,98.1,33
11/1/1982,98,33
12/1/1982,97.7,32
1/1/1983,97.9,32
2/1/1983,98,30.02
3/1/1983,98.1,29.17
4/1/1983,98.8,30.51
5/1/1983,99.2,30.19
6/1/1983,99.4,31.03
7/1/1983,99.8,31.64
8/1/1983,100.1,31.9
9/1/1983,100.4,31.24
10/1/1983,100.8,30.41
11/1/1983,101.1,29.99
12/1/1983,101.4,29.15
1/1/1984,102.1,29.7
2/1/1984,102.6,30.14
3/1/1984,102.9,30.78
4/1/1984,103.3,30.61
5/1/1984,103.5,30.55
6/1/1984,103.7,29.95
7/1/1984,104.1,28.64
8/1/1984,104.4,29.25
9/1/1984,104.7,29.36
10/1/1984,105.1,28.76
11/1/1984,105.3,28.05
12/1/1984,105.5,26.86
1/1/1985,105.7,25.65
2/1/1985,106.3,27.31
3/1/1985,106.8,28.37
4/1/1985,107,28.82
5/1/1985,107.2,27.63
6/1/1985,107.5,27.19
7/1/1985,107.7,27.34
8/1/1985,107.9,27.76
9/1/1985,108.1,28.27
10/1/1985,108.5,29.58
11/1/1985,109,30.8
12/1/1985,109.5,27.18
1/1/1986,109.9,22.86
2/1/1986,109.7,15.4
3/1/1986,109.1,12.48
4/1/1986,108.7,12.85
5/1/1986,109,15.42
6/1/1986,109.4,13.56
7/1/1986,109.5,11.57
8/1/1986,109.6,15.1
9/1/1986,110,14.95
10/1/1986,110.2,14.88
11/1/1986,110.4,15.17
12/1/1986,110.8,16.05
1/1/1987,111.4,18.69
2/1/1987,111.8,17.76
3/1/1987,112.2,18.41
4/1/1987,112.7,18.67
5/1/1987,113,19.44
6/1/1987,113.5,20.07
7/1/1987,113.8,21.34
8/1/1987,114.3,20.28
9/1/1987,114.7,19.55
10/1/1987,115,19.87
11/1/1987,115.4,18.97
12/1/1987,115.6,17.27
1/1/1988,116,17.14
2/1/1988,116.2,16.73
3/1/1988,116.5,16.19
4/1/1988,117.2,17.9
5/1/1988,117.5,17.39
6/1/1988,118,16.47
7/1/1988,118.5,15.5
8/1/1988,119,15.52
9/1/1988,119.5,14.55
10/1/1988,119.9,13.78
11/1/1988,120.3,14.12
12/1/1988,120.7,16.37
1/1/1989,121.2,18.01
2/1/1989,121.6,17.97
3/1/1989,122.2,19.49
4/1/1989,123.1,21.19
5/1/1989,123.7,20.35
6/1/1989,124.1,20.24
7/1/1989,124.5,19.79
8/1/1989,124.5,18.6
9/1/1989,124.8,19.57
10/1/1989,125.4,20.06
11/1/1989,125.9,19.9
12/1/1989,126.3,21.13
1/1/1990,127.5,22.96
2/1/1990,128,22.12
3/1/1990,128.6,20.41
4/1/1990,128.9,18.43
5/1/1990,129.1,18.25
6/1/1990,129.9,16.69
7/1/1990,130.5,18.42
8/1/1990,131.6,27.23
9/1/1990,132.5,33.8
10/1/1990,133.4,36.13
11/1/1990,133.7,32.44
12/1/1990,134.2,27.33
1/1/1991,134.7,25.2
2/1/1991,134.8,20.5
3/1/1991,134.8,19.87
4/1/1991,135.1,20.77
5/1/1991,135.6,21.24
6/1/1991,136,20.21
7/1/1991,136.2,21.52
8/1/1991,136.6,21.7
9/1/1991,137,21.86
10/1/1991,137.2,23.3
11/1/1991,137.8,22.46
12/1/1991,138.2,19.51
1/1/1992,138.3,18.76
2/1/1992,138.6,18.99
3/1/1992,139.1,18.92
4/1/1992,139.4,20.23
5/1/1992,139.7,20.97
6/1/1992,140.1,22.37
7/1/1992,140.5,21.77
8/1/1992,140.8,21.31
9/1/1992,141.1,21.9
10/1/1992,141.7,21.69
11/1/1992,142.1,20.33
12/1/1992,142.3,19.42
1/1/1993,142.8,19.06
2/1/1993,143.1,20.04
3/1/1993,143.3,20.32
