TIME,US_G,US_I,US_C,US_CPI,US_Y
1955Q1,67728,100239.73,319126,12.24,413073
1955Q2,67777,105794.59,324243,12.24,421532
1955Q3,69834,106654.3,330485,12.31,430221
1955Q4,69063,110184.66,333702,12.32,437092
1956Q1,69274,111126.73,335430,12.29,439746
1956Q2,71663,110209.27,340497,12.4,446010
1956Q3,70518,113510.47,342593,12.55,451191
1956Q4,72680,112067,350125,12.63,460463
1957Q1,75585,113288.19,357474,12.7,469779
1957Q2,76106,113072.36,360282,12.84,472025
1957Q3,76806,115355.84,365556,12.98,479490
1957Q4,79236,106963.6,369604,13.01,474864
1958Q1,78576,102141.39,368464,13.15,467540
1958Q2,81642,100375.26,374461,13.25,471978
1958Q3,82168,109592.93,380061,13.27,485841
1958Q4,83676,119204.5,385499,13.27,499555
1959Q1,80978,125664.61,390427,13.27,510330
1959Q2,82377,130972.16,397882,13.31,522653
1959Q3,83354,125252.87,404079,13.41,525034
1959Q4,83669,126145.56,406511,13.48,528600
1960Q1,81850,136305.81,408214,13.47,542648
1960Q2,83186,126434.27,415394,13.54,541080
1960Q3,85579,126819.44,417705,13.57,545604
1960Q4,87451,115976.61,421475,13.67,540197
1961Q1,86591,120899.21,421111,13.67,545018
1961Q2,88743,125002.27,428198,13.67,555545
1961Q3,90111,133301.94,432443,13.74,567664
1961Q4,91914,137499.27,441507,13.76,580612
1962Q1,95155,143280.7,449977,13.79,594013
1962Q2,96572,141923.07,457030,13.85,600366
1962Q3,98939,144562.61,463272,13.91,609027
1962Q4,100093,141146.25,470711,13.94,612280
1963Q1,100470,145005.67,474753,13.96,621672
1963Q2,100580,147120.17,478993,14,629752
1963Q3,104110,152739.02,489504,14.08,644444
1963Q4,105858,154574.92,495907,14.14,653938
1964Q1,106778,158781.42,506359,14.17,669822
1964Q2,107813,159298.14,515349,14.19,678674
1964Q3,109465,161785.09,525887,14.25,692031
1964Q4,109430,164360.05,528417,14.29,697319
1965Q1,110829,175389.96,540540,14.32,717790
1965Q2,112899,176915.88,549541,14.43,730191
1965Q3,117893,183326.51,563697,14.49,749323
1965Q4,123140,186357.36,582876,14.55,771857
1966Q1,125112,199398.23,595248,14.66,795734
1966Q2,129716,197842.23,604905,14.83,804981
1966Q3,135288,199747.66,619579,14.97,819638
