Year,Period,P_ALL,P_FOOD,P_HOUS,P_GAS
1967,M01,32.9,33.9,30.5,26.3
1967,M02,33,33.8,30.5,26.2
1967,M03,33,33.8,30.5,26.1
1967,M04,33.1,33.7,30.6,26.4
1967,M05,33.1,33.7,30.7,26.4
1967,M06,33.3,34,30.7,26.4
1967,M07,33.4,34.1,30.8,26.4
1967,M08,33.5,34.3,30.9,26.4
1967,M09,33.6,34.3,31,26.7
1967,M10,33.7,34.4,31,26.4
1967,M11,33.9,34.5,31.1,26.8
1967,M12,34,34.6,31.2,26.4
1968,M01,34.1,34.6,31.3,26.8
1968,M02,34.2,34.8,31.4,26.9
1968,M03,34.3,34.9,31.5,26.8
1968,M04,34.4,35,31.6,26.5
1968,M05,34.5,35.1,31.7,26.6
1968,M06,34.7,35.2,31.9,26.7
1968,M07,34.9,35.3,32.1,26.8
1968,M08,35,35.4,32.3,27
1968,M09,35.1,35.6,32.4,26.9
1968,M10,35.3,35.9,32.5,26.9
1968,M11,35.4,35.9,32.7,27.1
1968,M12,35.6,36,32.9,26.9
1969,M01,35.7,36.1,33,27.1
1969,M02,35.8,36.1,33.1,27.2
1969,M03,36.1,36.2,33.4,27.7
1969,M04,36.3,36.4,33.6,27.9
1969,M05,36.4,36.6,33.7,27.8
1969,M06,36.6,37,33.9,28
1969,M07,36.8,37.3,34.1,27.8
1969,M08,36.9,37.5,34.3,27.8
1969,M09,37.1,37.7,34.5,27.7
1969,M10,37.3,37.8,34.7,27.8
1969,M11,37.5,38.2,34.8,27.5
1969,M12,37.7,38.6,35,27.7
1970,M01,37.9,38.7,35.1,27.6
1970,M02,38.1,38.9,35.4,27.8
1970,M03,38.3,38.9,35.8,27.2
1970,M04,38.5,39,35.9,28.3
1970,M05,38.6,39.2,36.1,28.1
1970,M06,38.8,39.2,36.3,27.8
1970,M07,38.9,39.2,36.5,28
1970,M08,39,39.2,36.6,27.5
1970,M09,39.2,39.4,36.9,27.7
1970,M10,39.4,39.5,37.1,28.1
1970,M11,39.6,39.5,37.3,28.2
1970,M12,39.8,39.5,37.4,28.4
1971,M01,39.9,39.4,37.5,28.5
1971,M02,39.9,39.5,37.5,28.2
1971,M03,40,39.8,37.4,27.9
1971,M04,40.1,40.1,37.4,27.5
1971,M05,40.3,40.3,37.6,27.5
1971,M06,40.5,40.5,37.9,27.7
1971,M07,40.6,40.6,38.1,27.3
1971,M08,40.7,40.6,38.2,28.4
1971,M09,40.8,40.6,38.4,28.6
1971,M10,40.9,40.7,38.5,28.7
1971,M11,41,40.9,38.6,28.4
1971,M12,41.1,41.3,38.7,28.5
1972,M01,41.2,41.1,38.9,28.3
1972,M02,41.4,41.7,39,28.1
1972,M03,41.4,41.6,39,28.1
1972,M04,41.5,41.6,39.1,27.8
1972,M05,41.6,41.7,39.2,28
1972,M06,41.7,41.9,39.4,27.8
1972,M07,41.8,42.1,39.6,28
1972,M08,41.9,42.2,39.7,28.4
1972,M09,42.1,42.5,39.8,29
1972,M10,42.2,42.8,39.8,29.1
1972,M11,42.4,43,39.9,29.3
1972,M12,42.5,43.2,40.1,29.3
1973,M01,42.7,44,40.1,29.4
1973,M02,43,44.6,40.2,29.6
1973,M03,43.4,45.8,40.4,29.7
1973,M04,43.7,46.5,40.5,30.2
1973,M05,43.9,47.1,40.6,30.4
1973,M06,44.2,47.6,40.9,31.1
1973,M07,44.2,47.7,41,31
1973,M08,45,50.5,41.3,31
1973,M09,45.2,50.4,41.7,30.8
1973,M10,45.6,50.7,42.1,32.2
1973,M11,45.9,51.4,42.5,33.7
1973,M12,46.3,51.9,42.8,35.2
1974,M01,46.8,52.5,43.3,37.2
1974,M02,47.3,53.6,43.6,39.3
1974,M03,47.8,54.2,44.1,42.2
1974,M04,48.1,54.1,44.4,42.8
1974,M05,48.6,54.5,44.9,43.6
1974,M06,49,54.5,45.4,43.7
1974,M07,49.3,54.3,45.9,43.7
1974,M08,49.9,55.1,46.5,43.5
