Date,PUS,RUS,PMX,RMX
1/1/1976,55.8,4.87,0.023319,11.86
2/1/1976,55.9,4.77,0.023755,11.83
3/1/1976,56,4.84,0.023988,11.78
4/1/1976,56.1,4.82,0.024156,11.79
5/1/1976,56.4,5.29,0.024325,11.78
6/1/1976,56.7,5.48,0.024423,11.76
7/1/1976,57,5.31,0.024629,11.74
8/1/1976,57.3,5.29,0.024865,11.74
9/1/1976,57.6,5.25,0.025713,11.74
10/1/1976,57.9,5.02,0.027161,11.96
11/1/1976,58.1,4.95,0.028388,12.03
12/1/1976,58.4,4.65,0.0291,12.12
1/1/1977,58.7,4.61,0.030027,12.05
2/1/1977,59.3,4.68,0.03069,12
3/1/1977,59.6,4.69,0.031225,11.99
4/1/1977,60,4.73,0.031697,12.03
5/1/1977,60.2,5.35,0.031976,11.93
6/1/1977,60.5,5.39,0.032368,12.59
7/1/1977,60.8,5.42,0.032734,13.25
8/1/1977,61.1,5.9,0.033405,13.52
9/1/1977,61.3,6.14,0.033998,13.57
10/1/1977,61.6,6.47,0.034258,13.64
11/1/1977,62,6.51,0.034632,13.93
12/1/1977,62.3,6.56,0.035112,14.04
1/1/1978,62.7,6.7,0.035892,14.33
2/1/1978,63,6.78,0.036408,14.47
3/1/1978,63.4,6.79,0.036787,14.62
4/1/1978,63.9,6.89,0.037196,14.87
5/1/1978,64.5,7.36,0.03756,15.02
6/1/1978,65,7.6,0.038077,15.16
7/1/1978,65.5,7.81,0.038723,15.26
8/1/1978,65.9,8.04,0.039109,15.29
9/1/1978,66.5,8.45,0.039555,15.38
10/1/1978,67.1,8.96,0.040034,15.49
11/1/1978,67.5,9.76,0.040446,15.81
12/1/1978,67.9,10.03,0.040789,15.88
1/1/1979,68.5,10.07,0.042237,15.98
2/1/1979,69.2,10.06,0.042845,15.97
3/1/1979,69.9,10.09,0.043426,15.98
4/1/1979,70.6,10.01,0.043815,15.99
5/1/1979,71.4,10.24,0.044389,16.02
6/1/1979,72.2,10.29,0.044881,16.04
7/1/1979,73,10.47,0.045425,16.08
