Date,USCPI,MXCPI,MXNUSD,MXREER,SR28,SR464,SR465,SR1501,SR1503,MXREER2
1/1/1969,35.7,0.011595,0.0125,,,,,,,
2/1/1969,35.8,0.011636,0.0125,,,,,,,
3/1/1969,36.1,0.011648,0.0125,,,,,,,
4/1/1969,36.3,0.01168,0.0125,,,,,,,
5/1/1969,36.4,0.01168,0.0125,,,,,,,
6/1/1969,36.6,0.011721,0.0125,,,,,,,
7/1/1969,36.8,0.011766,0.0125,,,,,,,
8/1/1969,36.9,0.011779,0.0125,,,,,,,
9/1/1969,37.1,0.011889,0.0125,,,,,,,
10/1/1969,37.3,0.012014,0.0125,,,,,,,
11/1/1969,37.5,0.012015,0.0125,,,,,,,
12/1/1969,37.7,0.012106,0.0125,,,,,,,
1/1/1970,37.9,0.012198,0.0125,,,,,,,
2/1/1970,38.1,0.012196,0.0125,,,,,,,
3/1/1970,38.3,0.012232,0.0125,,,,,,,
4/1/1970,38.5,0.012248,0.0125,,,,,,,
5/1/1970,38.6,0.012274,0.0125,,,,,,,
6/1/1970,38.8,0.012348,0.0125,,,,,,,
7/1/1970,38.9,0.012409,0.0125,,,,,,,
8/1/1970,39,0.012466,0.0125,,,,,,,
9/1/1970,39.2,0.012496,0.0125,,,,,,,
10/1/1970,39.4,0.0125,0.0125,,,,,,,
11/1/1970,39.6,0.012568,0.0125,,,,,,,
12/1/1970,39.8,0.012674,0.0125,,,,,,,
1/1/1971,39.9,0.012799,0.0125,,,,,,,
2/1/1971,39.9,0.012852,0.0125,,,,,,,
3/1/1971,40,0.012901,0.0125,,,,,,,
4/1/1971,40.1,0.012967,0.0125,,,,,,,
5/1/1971,40.3,0.012994,0.0125,,,,,,,
6/1/1971,40.5,0.013053,0.0125,,,,,,,
7/1/1971,40.6,0.013043,0.0125,,,,,,,
8/1/1971,40.7,0.013162,0.0125,,,,,,,
9/1/1971,40.8,0.013205,0.0125,,,,,,,
10/1/1971,40.9,0.013218,0.0125,,,,,,,
11/1/1971,41,0.01324,0.0125,,,,,,,
12/1/1971,41.1,0.013303,0.0125,,,,,,,
1/1/1972,41.2,0.013362,0.0125,,,,,,,
2/1/1972,41.4,0.013403,0.0125,,,,,,,
3/1/1972,41.4,0.013476,0.0125,,,,,,,
4/1/1972,41.5,0.013561,0.0125,,,,,,,
5/1/1972,41.6,0.013588,0.0125,,,,,,,
6/1/1972,41.7,0.013689,0.0125,,,,,,,
7/1/1972,41.8,0.01374,0.0125,,,,,,,
8/1/1972,41.9,0.013831,0.0125,,,,,,,
9/1/1972,42.1,0.013894,0.0125,,,,,,,
10/1/1972,42.2,0.013904,0.0125,,,,,,,
11/1/1972,42.4,0.013994,0.0125,,,,,,,
12/1/1972,42.5,0.014042,0.0125,,,,,,,
1/1/1973,42.7,0.014246,0.0125,,,,,,,
2/1/1973,43,0.014363,0.0125,,,,,,,
3/1/1973,43.4,0.01449,0.0125,,,,,,,
4/1/1973,43.7,0.014719,0.0125,,,,,,,
5/1/1973,43.9,0.014876,0.0125,,,,,,,
6/1/1973,44.2,0.014998,0.0125,,,,,,,
7/1/1973,44.2,0.015382,0.0125,,,,,,,
8/1/1973,45,0.015629,0.0125,,,,,,,
9/1/1973,45.2,0.016001,0.0125,,,,,,,
10/1/1973,45.6,0.016206,0.0125,,,,,,,
11/1/1973,45.9,0.016406,0.0125,,,,,,,
12/1/1973,46.3,0.017043,0.0125,,,,,,,
1/1/1974,46.8,0.017653,0.0125,,,,,,,
2/1/1974,47.3,0.018052,0.0125,,,,,,,
3/1/1974,47.8,0.018191,0.0125,,,,,,,
4/1/1974,48.1,0.018438,0.0125,,,,,,,
5/1/1974,48.6,0.018583,0.0125,,,,,,,
6/1/1974,49,0.018766,0.0125,,,,,,,
7/1/1974,49.3,0.019038,0.0125,,,,,,,
8/1/1974,49.9,0.019239,0.0125,,,,,,,
9/1/1974,50.6,0.019457,0.0125,,,,,,,
10/1/1974,51,0.019843,0.0125,,,,,,,
11/1/1974,51.5,0.020394,0.0125,,,,,,,
12/1/1974,51.9,0.020553,0.0125,,,,,,,
1/1/1975,52.3,0.020816,0.0125,,,,,,,
2/1/1975,52.6,0.020931,0.0125,,,,,,,
3/1/1975,52.8,0.021063,0.0125,,,,,,,
4/1/1975,53,0.021241,0.0125,,,,,,,
5/1/1975,53.1,0.021525,0.0125,,,,,,,
6/1/1975,53.5,0.021891,0.0125,,,,,,,
7/1/1975,54,0.022066,0.0125,,,,,,,
8/1/1975,54.2,0.022257,0.0125,,,,,,,
9/1/1975,54.6,0.022419,0.0125,,,,,,,
10/1/1975,54.9,0.022534,0.0125,,,,,,,
11/1/1975,55.3,0.022692,0.0125,,,,,,,
12/1/1975,55.6,0.022877,0.0125,,,,,,,
1/1/1976,55.8,0.023319,0.0125,,,,,,,
2/1/1976,55.9,0.023755,0.0125,,,,,,,
3/1/1976,56,0.023988,0.0125,,,,,,,
4/1/1976,56.1,0.024156,0.0125,,,,,,,
5/1/1976,56.4,0.024325,0.0125,,,,,,,
6/1/1976,56.7,0.024423,0.0125,,,,,,,
7/1/1976,57,0.024629,0.0125,,,,,,,
8/1/1976,57.3,0.024865,0.0125,,,,,,,
9/1/1976,57.6,0.025713,0.0194,,,,,,,
10/1/1976,57.9,0.027161,0.0208,,,,,,,
11/1/1976,58.1,0.028388,0.0243,,,,,,,
12/1/1976,58.4,0.0291,0.0203,,,,,,,
1/1/1977,58.7,0.030027,0.0209,,,,,,,
2/1/1977,59.3,0.03069,0.0225,,,,,,,
3/1/1977,59.6,0.031225,0.0226,,,,,,,
4/1/1977,60,0.031697,0.0226,,,,,,,
5/1/1977,60.2,0.031976,0.0227,,,,,,,
6/1/1977,60.5,0.032368,0.0228,,,,,,,
7/1/1977,60.8,0.032734,0.0229,,,,,,,
8/1/1977,61.1,0.033405,0.0228,,,,,,,
9/1/1977,61.3,0.033998,0.0228,,,,,,,
10/1/1977,61.6,0.034258,0.0228,,,,,,,
11/1/1977,62,0.034632,0.0227,,,,,,,
12/1/1977,62.3,0.035112,0.0227,,,,,,,
1/1/1978,62.7,0.035892,0.0227,,,,,,,
2/1/1978,63,0.036408,0.0227,,,,,,,
3/1/1978,63.4,0.036787,0.0227,,,,,,,
4/1/1978,63.9,0.037196,0.0227,,,,,,,
5/1/1978,64.5,0.03756,0.0227,,,,,,,
6/1/1978,65,0.038077,0.0227,,,,,,,
7/1/1978,65.5,0.038723,0.0227,,,,,,,
8/1/1978,65.9,0.039109,0.0227,,,,,,,
9/1/1978,66.5,0.039555,0.0227,,,,,,,
10/1/1978,67.1,0.040034,0.0227,,,,,,,
11/1/1978,67.5,0.040446,0.0227,,,,,,,
12/1/1978,67.9,0.040789,0.0227,,,,,,,
1/1/1979,68.5,0.042237,0.0227,,,,,,,84.628
2/1/1979,69.2,0.042845,0.0227,,,,,,,83.758
3/1/1979,69.9,0.043426,0.0227,,,,,,,82.959
4/1/1979,70.6,0.043815,0.0228,,,,,,,82.572
5/1/1979,71.4,0.044389,0.0228,,,,,,,81.867
6/1/1979,72.2,0.044881,0.0228,,,,,,,81.808
7/1/1979,73,0.045425,0.0228,,,,,,,83.207
8/1/1979,73.7,0.046112,0.0228,,,,,,,82.113
9/1/1979,74.4,0.046678,0.0228,,,,,,,81.905
10/1/1979,75.2,0.047493,0.0228,,,,,,,80.452
11/1/1979,76,0.048104,0.0227,,,,,,,79.103
12/1/1979,76.9,0.048956,0.0228,,,,,,,79.474
1/1/1980,78,0.051342,0.0228,,,,,,,77.371
2/1/1980,79,0.052529,0.0228,,,,,,,76.072
3/1/1980,80.1,0.05361,0.0228,,,,,,,73.529
4/1/1980,80.9,0.054547,0.0228,,,,,,,72.972
5/1/1980,81.7,0.055437,0.0229,,,,,,,75.043
6/1/1980,82.5,0.056536,0.0229,,,,,,,75.412
7/1/1980,82.6,0.058115,0.023,,,,,,,73.981
8/1/1980,83.2,0.059319,0.023,,,,,,,72.225
9/1/1980,83.9,0.059978,0.023,,,,,,,72.659
10/1/1980,84.7,0.060886,0.023,,,,,,,72.205
11/1/1980,85.6,0.061942,0.0231,,,,,,,70.480
12/1/1980,86.4,0.063567,0.0232,,,,,,,68.796
1/1/1981,87.2,0.065615,0.0233,,,,,,,67.965
2/1/1981,88,0.067227,0.0235,,,,,,,65.454
3/1/1981,88.6,0.068665,0.0236,,,,,,,64.891
4/1/1981,89.1,0.070213,0.0239,,,,,,,63.654
5/1/1981,89.7,0.071275,0.0241,,,,,,,61.921
6/1/1981,90.5,0.072271,0.0243,,,,,,,60.936
7/1/1981,91.5,0.073544,0.0245,,,,,,,59.827
8/1/1981,92.2,0.07506,0.0247,,,,,,,58.564
9/1/1981,93.1,0.076456,0.025,,,,,,,59.995
10/1/1981,93.4,0.078153,0.0253,,,,,,,60.206
11/1/1981,93.8,0.079657,0.0256,,,,,,,60.712
12/1/1981,94.1,0.081801,0.026,,,,,,,60.103
1/1/1982,94.4,0.085866,0.0264,,,,,,,57.890
2/1/1982,94.7,0.08924,0.0322,,,,,,,66.837
3/1/1982,94.7,0.092499,0.0455,,,,,,,90.410
4/1/1982,95,0.097512,0.0457,,,,,,,86.011
5/1/1982,95.9,0.102993,0.0465,,,,,,,85.041
6/1/1982,97,0.107954,0.0473,,,,,,,80.472
7/1/1982,97.5,0.113517,0.0482,,,,,,,77.247
8/1/1982,97.7,0.126256,0.0695,,,,,,,100.041
9/1/1982,97.7,0.132995,0.07,,,,,,,95.532
10/1/1982,98.1,0.13989,0.07,,,,,,,90.096
11/1/1982,98,0.146963,0.07,,,,,,,85.621
12/1/1982,97.7,0.162656,0.0805,,,,,,,91.702
1/1/1983,97.9,0.180355,0.0966,,,,,,,100.637
2/1/1983,98,0.190034,0.1024,,,,,,,100.550
3/1/1983,98.1,0.199232,0.1062,,,,,,,99.329
4/1/1983,98.8,0.211846,0.1102,,,,,,,97.032
5/1/1983,99.2,0.221034,0.1142,,,,,,,97.026
6/1/1983,99.4,0.229404,0.1181,,,,,,,95.566
7/1/1983,99.8,0.240746,0.1221,,,,,,,93.736
8/1/1983,100.1,0.250091,0.1261,,,,,,,92.066
9/1/1983,100.4,0.257787,0.1301,,,,,,,92.824
10/1/1983,100.8,0.266341,0.1341,,,,,,,94.254
11/1/1983,101.1,0.281983,0.138,,,,,,,90.693
12/1/1983,101.4,0.294047,0.142,,,,,,,88.838
1/1/1984,102.1,0.312728,0.146,,,,,,,85.763
2/1/1984,102.6,0.329232,0.1499,,,,,,,85.067
3/1/1984,102.9,0.343304,0.1538,,,,,,,85.694
4/1/1984,103.3,0.358156,0.1578,,,,,,,84.118
5/1/1984,103.5,0.370032,0.1617,,,,,,,82.214
6/1/1984,103.7,0.383423,0.1657,,,,,,,81.296
7/1/1984,104.1,0.395993,0.1697,,,,,,,78.817
8/1/1984,104.4,0.407249,0.1737,,,,,,,78.178
9/1/1984,104.7,0.41938,0.1777,,,,,,,76.537
10/1/1984,105.1,0.434034,0.1816,,,,,,,75.278
11/1/1984,105.3,0.448929,0.1856,,,,,,,75.366
12/1/1984,105.5,0.467996,0.19,,,,,,,72.826
1/1/1985,105.7,0.502711,0.1953,,,,,,,68.882
2/1/1985,106.3,0.523596,0.2003,,,,,,,66.802
3/1/1985,106.8,0.543885,0.2058,,,,,,,66.231
4/1/1985,107,0.560621,0.2122,,,,,,,69.070
5/1/1985,107.2,0.573902,0.2186,,,,,,,69.460
6/1/1985,107.5,0.588276,0.225,,,,,,,70.528
7/1/1985,107.7,0.608763,0.2418,,,,,,,75.191
8/1/1985,107.9,0.635377,0.2853,,,,,,,86.307
9/1/1985,108.1,0.660752,0.2972,,,,,,,85.986
10/1/1985,108.5,0.685852,0.312,,,,,,,91.256
11/1/1985,109,0.717495,0.3289,,,,,,,93.597
12/1/1985,109.5,0.76634,0.3549,,,,,,,95.643
1/1/1986,109.9,0.834092,0.3858,,,,,,,96.971
2/1/1986,109.7,0.871174,0.418,,,,,,,103.721
3/1/1986,109.1,0.911667,0.4565,,,,,,,110.140
4/1/1986,108.7,0.959263,0.4873,,,,,,,112.041
5/1/1986,109,1.01257,0.5175,,,,,,,114.836
6/1/1986,109.4,1.077567,0.5537,,,,,,,115.146
7/1/1986,109.5,1.131333,0.5989,,,,,,,121.349
8/1/1986,109.6,1.221531,0.6608,,,,,,,126.296
9/1/1986,110,1.294812,0.7202,,,,,,,130.769
10/1/1986,110.2,1.368824,0.7761,,,,,,,133.835
11/1/1986,110.4,1.461304,0.8306,,,,,,,132.682
12/1/1986,110.8,1.576735,0.8898,,,,,,,132.716
1/1/1987,111.4,1.704401,0.9508,,,,,,,136.168
