DATE,US_G,US_I,US_C,US_Y,US_CPI
1/1/1960,99.951,41.29425,326.3666667,542.648,29.39666667
4/1/1960,102.035,32.9905,332.2,541.08,29.57333333
7/1/1960,104.217,34.04425,332.1333333,545.604,29.59
10/1/1960,106.577,23.8515,334.0333333,540.197,29.78
1/1/1961,108.531,27.59025,334.5333333,545.018,29.84
4/1/1961,111.561,31.99875,339.4666667,555.545,29.83
7/1/1961,112.58,37.68375,342.3666667,567.664,29.94666667
10/1/1961,114.408,38.13025,349.6,580.612,29.99
1/1/1962,118.949,42.0625,354.8666667,594.013,30.10666667
4/1/1962,120.737,38.723,360.4666667,600.366,30.22
7/1/1962,122.299,39.95925,364.3666667,609.027,30.30666667
10/1/1962,124.211,37.13225,370.6,612.28,30.38
1/1/1963,123.892,40.88675,374.2666667,621.672,30.47666667
4/1/1963,124.193,39.9275,378.4333333,629.752,30.53333333
7/1/1963,127.358,41.894,385.4,644.444,30.72
10/1/1963,128.255,41.878,390.0333333,653.938,30.80333333
1/1/1964,130.485,42.9055,399.6,669.822,30.93
4/1/1964,131.683,42.59675,407.5333333,678.674,30.98
7/1/1964,131.223,43.3185,416.4,692.031,31.05
10/1/1964,129.868,44.1885,419,697.319,31.19333333
1/1/1965,131.44,51.8425,429.7,717.79,31.29
4/1/1965,133.424,49.91625,436.6333333,730.191,31.49
7/1/1965,139.931,51.99525,445.8,749.323,31.58333333
10/1/1965,143.739,51.496,459.7666667,771.857,31.75
1/1/1966,150.057,59.434,470.1333333,795.734,32.04666667
4/1/1966,155.305,58.09775,475.1666667,804.981,32.33666667
7/1/1966,161.733,58.232,484.3333333,819.638,32.61666667
10/1/1966,166.68,62.89925,490.0666667,833.302,32.88333333
1/1/1967,176.472,61.74225,494.3333333,844.17,32.96666667
4/1/1967,175.689,53.27025,503.4333333,848.983,33.16666667
7/1/1967,181.526,57.136,510.7,865.233,33.5
10/1/1967,183.494,57.81325,518.2333333,881.439,33.86666667
1/1/1968,188.848,58.989,536.2666667,909.387,34.2
4/1/1968,195.598,65.18,550.0333333,934.344,34.53333333
7/1/1968,198.456,59.5685,566.1333333,950.825,35
10/1/1968,202.643,59.5835,574.9333333,968.03,35.43333333
1/1/1969,201.334,67.095,587.0333333,993.337,35.86666667
4/1/1969,205.6,65.024,598.3666667,1009.02,36.43333333
7/1/1969,210.616,67.01875,608.6,1029.956,36.93333333
10/1/1969,213.885,61.48975,620.6,1038.147,37.5
1/1/1970,218.169,58.14825,631.6666667,1051.2,38.1
4/1/1970,228.059,61.38325,641.5666667,1067.375,38.63333333
7/1/1970,230.256,62.34825,653.5,1086.059,39.03333333
10/1/1970,234.564,53.9745,660.1666667,1088.608,39.6
1/1/1971,235.396,71.07675,679.1666667,1135.156,39.93333333
4/1/1971,248.015,72.07025,693.2333333,1156.271,40.3
7/1/1971,248.382,72.9485,705.6,1177.675,40.7
10/1/1971,251.59,64.0035,721.7,1190.297,41
1/1/1972,263.885,70.66075,738.9666667,1230.609,41.33333333
4/1/1972,273.947,80.9285,757.3666667,1266.369,41.6
7/1/1972,264.747,83.36225,775.7666667,1290.566,41.93333333
10/1/1972,287.431,81.20525,800.5,1328.904,42.36666667
1/1/1973,285.337,88.03475,825.0333333,1377.49,43.03333333
4/1/1973,293.03,97.0875,840.5333333,1413.887,43.93333333
7/1/1973,285.608,89.5645,858.8666667,1433.838,44.8
10/1/1973,294.608,105.511,873.9,1476.289,45.93333333
1/1/1974,305.593,94.21925,891.8666667,1491.209,47.3
4/1/1974,309.908,101.41875,920.4,1530.056,48.56666667
7/1/1974,331.916,91.48575,949.2666667,1560.026,49.93333333
10/1/1974,342.122,105.53675,959.0666667,1599.679,51.46666667
1/1/1975,362.069,74.31575,985.2,1616.116,52.56666667
4/1/1975,383.701,70.1465,1013.566667,1651.853,53.2
7/1/1975,392.615,86.63825,1047.2,1709.82,54.26666667
10/1/1975,402.201,91.79,1076.266667,1761.831,55.26666667
