xDatex,PUS,PMX,RUS,RMX
Jan-76,55.8,0.023319000000,4.87,11.86
Feb-76,55.9,0.023755000000,4.77,11.83
Mar-76,56,0.023988000000,4.84,11.78
Apr-76,56.1,0.024156000000,4.82,11.79
May-76,56.4,0.024325000000,5.29,11.78
Jun-76,56.7,0.024423000000,5.48,11.76
Jul-76,57,0.024629000000,5.31,11.74
Aug-76,57.3,0.024865000000,5.29,11.74
Sep-76,57.6,0.025713000000,5.25,11.74
Oct-76,57.9,0.027161000000,5.02,11.96
Nov-76,58.1,0.028388000000,4.95,12.03
Dec-76,58.4,0.029100000000,4.65,12.12
Jan-77,58.7,0.030027000000,4.61,12.05
Feb-77,59.3,0.030690000000,4.68,12.00
Mar-77,59.6,0.031225000000,4.69,11.99
Apr-77,60,0.031697000000,4.73,12.03
May-77,60.2,0.031976000000,5.35,11.93
Jun-77,60.5,0.032368000000,5.39,12.59
Jul-77,60.8,0.032734000000,5.42,13.25
Aug-77,61.1,0.033405000000,5.90,13.52
Sep-77,61.3,0.033998000000,6.14,13.57
Oct-77,61.6,0.034258000000,6.47,13.64
Nov-77,62,0.034632000000,6.51,13.93
Dec-77,62.3,0.035112000000,6.56,14.04
Jan-78,62.7,0.035892000000,6.70,14.33
Feb-78,63,0.036408000000,6.78,14.47
Mar-78,63.4,0.036787000000,6.79,14.62
Apr-78,63.9,0.037196000000,6.89,14.87
May-78,64.5,0.037560000000,7.36,15.02
Jun-78,65,0.038077000000,7.60,15.16
Jul-78,65.5,0.038723000000,7.81,15.26
Aug-78,65.9,0.039109000000,8.04,15.29
Sep-78,66.5,0.039555000000,8.45,15.38
Oct-78,67.1,0.040034000000,8.96,15.49
Nov-78,67.5,0.040446000000,9.76,15.81
Dec-78,67.9,0.040789000000,10.03,15.88
Jan-79,68.5,0.042237000000,10.07,15.98
Feb-79,69.2,0.042845000000,10.06,15.97
Mar-79,69.9,0.043426000000,10.09,15.98
Apr-79,70.6,0.043815000000,10.01,15.99
May-79,71.4,0.044389000000,10.24,16.02
Jun-79,72.2,0.044881000000,10.29,16.04
Jul-79,73,0.045425000000,10.47,16.08
Aug-79,73.7,0.046112000000,10.94,16.10
Sep-79,74.4,0.046678000000,11.43,16.51
Oct-79,75.2,0.047493000000,13.77,16.69
Nov-79,76,0.048104000000,13.18,17.37
Dec-79,76.9,0.048956000000,13.78,17.52
Jan-80,78,0.051342000000,13.82,17.90
Feb-80,79,0.052529000000,14.13,18.39
Mar-80,80.1,0.053610000000,17.19,19.20
Apr-80,80.9,0.054547000000,17.61,19.83
May-80,81.7,0.055437000000,10.98,20.39
Jun-80,82.5,0.056536000000,9.47,20.47
Jul-80,82.6,0.058115000000,9.03,20.53
Aug-80,83.2,0.059319000000,9.61,20.82
Sep-80,83.9,0.059978000000,10.87,21.51
Oct-80,84.7,0.060886000000,12.81,22.42
Nov-80,85.6,0.061942000000,15.85,22.77
Dec-80,86.4,0.063567000000,18.90,24.25
Jan-81,87.2,0.065615000000,19.08,25.46
Feb-81,88,0.067227000000,15.93,25.98
Mar-81,88.6,0.068665000000,14.70,26.59
Apr-81,89.1,0.070213000000,15.72,26.91
May-81,89.7,0.071275000000,18.52,27.22
Jun-81,90.5,0.072271000000,19.10,27.66
Jul-81,91.5,0.073544000000,19.04,28.42
Aug-81,92.2,0.075060000000,17.82,29.50
Sep-81,93.1,0.076456000000,15.87,30.45
Oct-81,93.4,0.078153000000,15.08,31.22
Nov-81,93.8,0.079657000000,13.31,31.77
Dec-81,94.1,0.081801000000,12.37,31.81
Jan-82,94.4,0.085866000000,13.22,32.34
Feb-82,94.7,0.089240000000,14.78,33.43
Mar-82,94.7,0.092499000000,14.68,33.67
Apr-82,95,0.097512000000,14.94,34.39
May-82,95.9,0.102993000000,14.45,36.26
Jun-82,97,0.107954000000,14.15,39.59
Jul-82,97.5,0.113517000000,12.59,43.23
Aug-82,97.7,0.126256000000,10.12,46.42
Sep-82,97.7,0.132995000000,10.31,47.88
Oct-82,98.1,0.139890000000,9.71,45.99
Nov-82,98,0.146963000000,9.20,45.51
Dec-82,97.7,0.162656000000,8.95,46.12
Jan-83,97.9,0.180355000000,8.68,50.29
Feb-83,98,0.190034000000,8.51,54.24
Mar-83,98.1,0.199232000000,8.77,56.16
Apr-83,98.8,0.211846000000,8.80,57.21
May-83,99.2,0.221034000000,8.63,58.14
Jun-83,99.4,0.229404000000,8.98,58.63
Jul-83,99.8,0.240746000000,9.37,58.73
Aug-83,100.1,0.250091000000,9.56,58.23
Sep-83,100.4,0.257787000000,9.45,57.78
Oct-83,100.8,0.266341000000,9.48,57.14
Nov-83,101.1,0.281983000000,9.34,56.82
Dec-83,101.4,0.294047000000,9.47,56.44
Jan-84,102.1,0.312728000000,9.56,55.95
Feb-84,102.6,0.329232000000,9.59,55.16
Mar-84,102.9,0.343304000000,9.91,53.11
Apr-84,103.3,0.358156000000,10.29,51.10
May-84,103.5,0.370032000000,10.32,50.12
Jun-84,103.7,0.383423000000,11.06,50.38
Jul-84,104.1,0.395993000000,11.23,50.69
Aug-84,104.4,0.407249000000,11.64,50.93
Sep-84,104.7,0.419380000000,11.30,50.60
Oct-84,105.1,0.434034000000,9.99,49.34
Nov-84,105.3,0.448929000000,9.43,48.31
Dec-84,105.5,0.467996000000,8.38,47.54
Jan-85,105.7,0.502711000000,8.35,47.17
Feb-85,106.3,0.523596000000,8.50,47.33
Mar-85,106.8,0.543885000000,8.58,49.36
Apr-85,107,0.560621000000,8.27,51.93
May-85,107.2,0.573902000000,7.97,53.76
Jun-85,107.5,0.588276000000,7.53,54.92
Jul-85,107.7,0.608763000000,7.88,57.00
Aug-85,107.9,0.635377000000,7.90,59.06
Sep-85,108.1,0.660752000000,7.92,60.98
Oct-85,108.5,0.685852000000,7.99,62.29
Nov-85,109,0.717495000000,8.05,63.39
Dec-85,109.5,0.766340000000,8.27,65.66
Jan-86,109.9,0.834092000000,8.14,68.55
Feb-86,109.7,0.871174000000,7.86,70.30
Mar-86,109.1,0.911667000000,7.48,71.79
Apr-86,108.7,0.959263000000,6.99,73.48
May-86,109,1.012570000000,6.85,75.02
Jun-86,109.4,1.077567000000,6.92,76.97
Jul-86,109.5,1.131333000000,6.56,81.36
Aug-86,109.6,1.221531000000,6.17,84.40
Sep-86,110,1.294812000000,5.89,87.72
Oct-86,110.2,1.368824000000,5.85,91.48
