Country,Gini,YCap19
Albania,33.3,4549.457441
Angola,51.3,3458.650512
Argentina,41.8,12711.70519
Armenia,32.6,4350.466198
Austria,30.5,46717.72073
Bangladesh,32.4,1603.953501
Belarus,25.4,6266.130854
Belgium,27.5,42887.65513
Benin,47.8,1201.561388
Bhutan,37.4,3229.161287
Bolivia,44.2,3317.370947
Botswana,53.3,7232.087569
Brazil,53.2,8638.294287
Bulgaria,40.2,8340.31469
Cabo Verde,42.4,3482.448472
Canada,33.2,44958.08869
Chile,44.4,13866.95584
China,38.6,10228.29281
Colombia,50.6,6390.368057
Costa Rica,48.3,12654.68652
Cote d'Ivoire,41.5,2327.745364
Croatia,30.5,13792.03838
Cyprus,32.8,32517.23728
Czech Republic,25.3,20202.15159
Denmark,28.3,57553.13124
Djibouti,41.6,3278.545809
Dominican Republic,43.7,8314.344819
Ecuador,45.4,5853.81306
"Egypt, Arab Rep.",31.7,3964.987129
El Salvador,39.2,4002.653898
Estonia,31.2,20399.56934
Eswatini,54.6,3820.347996
Ethiopia,35.0,799.7951343
Finland,27.2,46172.5675
France,32.2,38896.68543
Gabon,38.0,7118.089456
"Gambia, The",35.9,713.4302234
Georgia,36.7,4773.423309
Germany,31.8,43311.62898
Ghana,43.5,1974.294666
Greece,34.6,18992.6602
Honduras,49.1,2499.492823
Hungary,30.2,15042.33622
Iceland,26.7,57818.85946
Indonesia,38.5,3877.382977
"Iran, Islamic Rep.",40.6,4785.027876
Ireland,32.0,75112.80503
Israel,39.0,38152.73532
Italy,35.5,32043.90737
Kazakhstan,27.3,11402.76011
Kenya,40.8,1513.437266
"Korea, Rep.",31.4,31610.919
Kosovo,27.4,4256.053173
Kyrgyz Republic,28.1,1226.824464
Lao PDR,38.8,2572.828246
Latvia,34.8,15967.19713
Lesotho,44.9,1096.216969
Liberia,35.3,641.7672832
Lithuania,37.2,17186.27188
Luxembourg,33.6,104583.7159
Malawi,44.7,402.5431087
Malaysia,41.1,11391.69172
Maldives,31.3,10207.49092
Malta,29.1,27489.4212
Mauritius,36.8,10644.01772
Mexico,45.9,9832.457475
Moldova,26.2,3434.28765
Mongolia,32.5,4378.527872
Montenegro,38.8,7684.151468
Myanmar,34.4,1362.725439
Namibia,59.1,4521.146905
Netherlands,28.3,48424.25384
Nigeria,35.1,2502.652281
North Macedonia,34.3,5334.236663
Norway,27.7,76085.24552
Pakistan,32.1,1487.357222
Panama,50.0,15069.06582
Paraguay,47.1,5774.16616
Peru,42.8,6611.492764
Philippines,43.5,3664.79067
Poland,30.7,14987.4234
Portugal,34.5,21567.93597
Romania,35.5,11215.15886
Russian Federation,37.3,12122.60729
Rwanda,43.7,885.5996116
Sao Tome and Principe,56.3,1672.896155
Serbia,38.5,6562.670592
Seychelles,32.1,15913.77484
Sierra Leone,35.7,651.89774
Slovak Republic,25.6,18128.33587
Slovenia,24.8,24061.60388
Somalia,36.8,289.2785915
Spain,35.4,28091.01233
Sri Lanka,39.3,4225.106303
St. Lucia,51.2,11114.34349
Sweden,29.4,53490.35182
Switzerland,32.8,88413.19171
Tajikistan,34.0,1174.091716
Tanzania,40.5,985.4482081
Thailand,36.1,6617.542822
Togo,43.1,630.7905096
Tonga,37.6,4652.588587
Tunisia,32.8,3951.799039
Turkey,42.0,11956.19782
Uganda,42.8,898.4075148
Ukraine,25.8,3224.559949
United Arab Emirates,26.0,39789.96685
United Kingdom,34.4,46611.84433
United States,41.2,60836.77145
Uruguay,39.7,16036.2964
Vietnam,35.5,2604.224166
West Bank and Gaza,33.7,3378.434621
Zambia,57.1,1348.74322
Zimbabwe,47.3,1367.676915
