DATE,EXJPUS
1/1/1974,298.1336
2/1/1974,291.0872
3/1/1974,282.1648
4/1/1974,277.7741
5/1/1974,278.9664
6/1/1974,282.97
7/1/1974,290.98
8/1/1974,302.2836
9/1/1974,299.084
10/1/1974,299.3645
11/1/1974,300.075
12/1/1974,300.4114
1/1/1975,299.6845
2/1/1975,291.6583
3/1/1975,287.9486
4/1/1975,292.1968
5/1/1975,291.4305
6/1/1975,293.4662
7/1/1975,296.3741
8/1/1975,297.9762
9/1/1975,299.909
10/1/1975,302.3364
11/1/1975,302.5453
12/1/1975,305.67
1/1/1976,304.6357
2/1/1976,301.5944
3/1/1976,300.5183
4/1/1976,299.1086
5/1/1976,299.004
6/1/1976,299.1909
7/1/1976,294.641
8/1/1976,290.6259
9/1/1976,287.361
10/1/1976,291.189
11/1/1976,295.1653
12/1/1976,294.7017
1/1/1977,291.0524
2/1/1977,285.0221
3/1/1977,280.2265
4/1/1977,275.2071
5/1/1977,277.4262
6/1/1977,272.8609
7/1/1977,264.8632
8/1/1977,266.6774
9/1/1977,266.77
10/1/1977,254.7445
11/1/1977,244.7026
12/1/1977,241.0229
1/1/1978,241.081
2/1/1978,240.3722
3/1/1978,231.8574
4/1/1978,221.857
5/1/1978,226.1786
6/1/1978,214.1064
7/1/1978,199.6955
8/1/1978,188.7096
9/1/1978,189.9195
10/1/1978,183.631
11/1/1978,192.1425
12/1/1978,195.955
1/1/1979,197.755
2/1/1979,200.5072
3/1/1979,206.3236
4/1/1979,216.2852
5/1/1979,218.4141
6/1/1979,218.5967
7/1/1979,216.51
8/1/1979,217.9257
9/1/1979,222.4137
10/1/1979,230.4845
11/1/1979,244.9842
12/1/1979,240.3745
1/1/1980,237.8886
2/1/1980,244.35
3/1/1980,248.4786
4/1/1980,250.275
5/1/1980,228.6286
6/1/1980,217.9176
7/1/1980,221.1364
8/1/1980,223.9138
9/1/1980,214.4167
10/1/1980,209.3227
11/1/1980,213.1059
12/1/1980,209.4886
1/1/1981,202.3667
2/1/1981,205.7167
3/1/1981,208.7918
4/1/1981,214.9759
5/1/1981,220.6285
6/1/1981,224.1805
7/1/1981,232.3261
8/1/1981,233.3262
9/1/1981,229.481
10/1/1981,231.519
11/1/1981,223.1267
12/1/1981,218.9545
1/1/1982,224.805
2/1/1982,235.3056
3/1/1982,241.2283
4/1/1982,244.1068
5/1/1982,236.9635
6/1/1982,251.1977
7/1/1982,255.031
8/1/1982,259.0455
9/1/1982,263.2857
10/1/1982,271.615
11/1/1982,264.0879
12/1/1982,241.9413
1/1/1983,232.731
2/1/1983,236.1211
3/1/1983,238.2543
4/1/1983,237.7467
5/1/1983,234.7557
6/1/1983,240.0314
7/1/1983,240.516
8/1/1983,244.4613
9/1/1983,242.3462
10/1/1983,232.8855
11/1/1983,235.03
12/1/1983,234.4624
1/1/1984,233.8
2/1/1984,233.5963
3/1/1984,225.2664
4/1/1984,225.2
5/1/1984,230.4777
6/1/1984,233.5657
7/1/1984,243.0676
8/1/1984,242.2609
9/1/1984,245.4568
10/1/1984,246.7545
11/1/1984,243.6305
12/1/1984,247.964
1/1/1985,254.1829
2/1/1985,260.4778
3/1/1985,257.9205
4/1/1985,251.8455
5/1/1985,251.7295
6/1/1985,248.84
7/1/1985,241.1364
8/1/1985,237.4609
9/1/1985,236.5275
10/1/1985,214.6805
11/1/1985,204.0737
12/1/1985,202.7881
1/1/1986,199.8905
2/1/1986,184.8516
3/1/1986,178.6938
4/1/1986,175.0918
5/1/1986,167.0314
6/1/1986,167.5419
7/1/1986,158.6059
8/1/1986,154.1771
9/1/1986,154.7314
10/1/1986,156.4723
11/1/1986,162.8494
12/1/1986,162.0523
1/1/1987,154.8295
2/1/1987,153.4068
3/1/1987,151.4332
4/1/1987,142.8986
5/1/1987,140.479
6/1/1987,144.5495
7/1/1987,150.2939
8/1/1987,147.3343
9/1/1987,143.291
10/1/1987,143.32
11/1/1987,135.3974
12/1/1987,128.2418
1/1/1988,127.6853
2/1/1988,129.1665
3/1/1988,127.1139
4/1/1988,124.8976
5/1/1988,124.7871
6/1/1988,127.4655
7/1/1988,133.0215
8/1/1988,133.7661
9/1/1988,134.3176
10/1/1988,128.6805
11/1/1988,123.202
12/1/1988,123.6076
1/1/1989,127.3625
2/1/1989,127.7374
3/1/1989,130.5504
4/1/1989,132.0365
5/1/1989,137.8636
6/1/1989,143.9809
7/1/1989,140.424
8/1/1989,141.4852
9/1/1989,145.07
10/1/1989,142.2067
11/1/1989,143.5343
12/1/1989,143.685
1/1/1990,144.9819
2/1/1990,145.6932
3/1/1990,153.3082
4/1/1990,158.4586
5/1/1990,154.0441
6/1/1990,153.6957
7/1/1990,149.0395
8/1/1990,147.4609
9/1/1990,138.4405
10/1/1990,129.5909
11/1/1990,129.2155
12/1/1990,133.889
1/1/1991,133.6986
2/1/1991,130.5358
3/1/1991,137.3867
4/1/1991,137.1127
5/1/1991,138.2218
6/1/1991,139.7475
7/1/1991,137.83
8/1/1991,136.8164
9/1/1991,134.2995
10/1/1991,130.7723
11/1/1991,129.6321
12/1/1991,128.0395
1/1/1992,125.4614
2/1/1992,127.6989
3/1/1992,132.8627
4/1/1992,133.5395
5/1/1992,130.771
6/1/1992,126.8355
7/1/1992,125.8817
8/1/1992,126.231
9/1/1992,122.5967
10/1/1992,121.1652
11/1/1992,123.88
12/1/1992,124.0409
1/1/1993,124.9932
2/1/1993,120.7595
3/1/1993,117.0174
4/1/1993,112.4114
5/1/1993,110.343
6/1/1993,107.4118
7/1/1993,107.6914
8/1/1993,103.765
9/1/1993,105.5748
10/1/1993,107.02
11/1/1993,107.8765
12/1/1993,109.913
