Month,JPYperUSD
Jan 1970,360.00
Feb 1970,360.00
Mar 1970,360.00
Apr 1970,360.00
May 1970,360.00
Jun 1970,360.00
Jul 1970,360.00
Aug 1970,360.00
Sep 1970,360.00
Oct 1970,360.00
Nov 1970,360.00
Dec 1970,360.00
Jan 1971,360.00
Feb 1971,360.00
Mar 1971,360.00
Apr 1971,360.00
May 1971,360.00
Jun 1971,360.00
Jul 1971,360.00
Aug 1971,355.52
Sep 1971,337.40
Oct 1971,330.42
Nov 1971,328.40
Dec 1971,336.39
Jan 1972,312.23
Feb 1972,304.98
Mar 1972,302.44
Apr 1972,303.56
May 1972,304.44
Jun 1972,303.68
Jul 1972,301.11
Aug 1972,301.10
Sep 1972,301.10
Oct 1972,301.10
Nov 1972,301.10
Dec 1972,301.23
Jan 1973,301.96
Feb 1973,279.10
Mar 1973,265.26
Apr 1973,265.52
May 1973,264.73
Jun 1973,264.70
Jul 1973,264.41
Aug 1973,265.11
Sep 1973,265.49
Oct 1973,266.33
Nov 1973,277.81
Dec 1973,280.00
Jan 1974,298.64
Feb 1974,291.24
Mar 1974,282.58
Apr 1974,277.78
May 1974,278.93
Jun 1974,283.05
Jul 1974,290.91
Aug 1974,302.22
Sep 1974,299.62
Oct 1974,299.48
Nov 1974,300.10
Dec 1974,300.44
Jan 1975,299.64
Feb 1975,292.17
Mar 1975,288.03
Apr 1975,292.12
May 1975,291.47
Jun 1975,293.57
Jul 1975,296.22
Aug 1975,297.94
Sep 1975,299.68
Oct 1975,302.38
Nov 1975,302.53
Dec 1975,305.70
Jan 1976,304.66
Feb 1976,301.90
Mar 1976,300.60
Apr 1976,299.13
May 1976,299.06
Jun 1976,299.40
Jul 1976,294.78
Aug 1976,290.74
Sep 1976,287.66
Oct 1976,290.93
Nov 1976,295.05
Dec 1976,294.72
Jan 1977,291.08
Feb 1977,285.07
Mar 1977,280.57
Apr 1977,275.12
May 1977,277.62
Jun 1977,272.98
Jul 1977,264.82
Aug 1977,266.64
Sep 1977,267.04
Oct 1977,255.07
Nov 1977,244.81
Dec 1977,241.30
Jan 1978,241.13
Feb 1978,240.28
Mar 1978,231.51
Apr 1978,221.68
May 1978,226.40
Jun 1978,214.34
Jul 1978,199.90
Aug 1978,188.45
Sep 1978,190.16
Oct 1978,183.95
Nov 1978,191.26
Dec 1978,196.24
Jan 1979,197.72
Feb 1979,200.56
Mar 1979,206.10
Apr 1979,215.81
May 1979,218.15
Jun 1979,218.89
Jul 1979,216.41
Aug 1979,217.91
Sep 1979,222.26
Oct 1979,230.37
Nov 1979,244.88
Dec 1979,240.62
Jan 1980,237.96
Feb 1980,244.05
Mar 1980,248.62
Apr 1980,251.67
May 1980,228.35
Jun 1980,218.05
Jul 1980,220.95
Aug 1980,224.45
Sep 1980,214.85
Oct 1980,209.12
Nov 1980,213.04
Dec 1980,209.78
Jan 1981,202.00
Feb 1981,205.89
Mar 1981,208.82
Apr 1981,215.14
May 1981,220.66
Jun 1981,224.20
Jul 1981,231.96
Aug 1981,233.69
Sep 1981,230.02
Oct 1981,231.37
Nov 1981,223.74
Dec 1981,218.94
Jan 1982,224.59
Feb 1982,235.17
Mar 1982,240.72
Apr 1982,244.86
May 1982,236.90
Jun 1982,251.04
Jul 1982,255.12
Aug 1982,258.82
Sep 1982,262.65
Oct 1982,271.40
Nov 1982,265.13
Dec 1982,242.52
Jan 1983,232.94
Feb 1983,236.24
Mar 1983,238.03
Apr 1983,237.71
May 1983,234.74
Jun 1983,240.15
Jul 1983,240.50
Aug 1983,244.33
Sep 1983,242.77
Oct 1983,233.01
Nov 1983,235.31
Dec 1983,234.41
Jan 1984,233.94
Feb 1984,233.68
Mar 1984,225.40
Apr 1984,224.95
May 1984,230.66
Jun 1984,233.21
Jul 1984,242.84
Aug 1984,242.30
Sep 1984,245.23
