Year,CNY,JPY,UKY,USY,CNP,JPP,UKP,USP
1969,86122.00,62228000.00,48527.00,1019900.00,16.89,30.55,8.78,16.82
1970,92375.77,75964600.00,54451.00,1075900.00,17.46,32.67,9.33,17.81
1971,100848.76,83583700.00,60860.00,1167800.00,17.93,34.76,10.22,18.57
1972,112602.54,95694500.00,68054.00,1282400.00,18.83,36.44,10.94,19.18
1973,132031.14,116516100.00,78594.00,1428500.00,20.23,40.67,11.94,20.36
1974,157675.06,139038400.00,88183.00,1548800.00,22.46,50.12,13.86,22.61
1975,177708.13,153624800.00,109274.00,1688900.00,24.86,56,17.22,24.68
1976,204690.39,172522500.00,129450.00,1877600.00,26.73,61.24,20.07,26.1
1977,226214.48,192251700.00,150816.00,2086000.00,28.86,66.24,23.25,27.79
1978,250912.72,211704700.00,175163.00,2356600.00,31.45,69.03,25.17,29.92
1979,286468.00,229459400.00,207293.00,2632150.00,34.33,71.59,28.54,33.28
1980,321576.00,247269600.00,243097.00,2862475.00,37.81,77.16,33.67,37.79
1981,367121.00,265707200.00,269085.00,3210950.00,42.52,80.95,37.67,41.7
1982,386773.00,279383400.00,294814.00,3345000.00,47.1,83.16,40.91,44.25
1983,419691.00,290754800.00,323001.00,3638125.00,49.86,84.74,42.8,45.68
1984,460243.00,308345400.00,346946.00,4040700.00,52.01,86.66,44.92,47.64
1985,498075.00,331142700.00,381251.00,4346750.00,54.07,88.42,47.65,49.33
1986,524450.00,347222000.00,410311.00,4590125.00,56.34,88.95,49.28,50.27
1987,571926.00,360911400.00,455965.00,4870225.00,58.79,89.06,51.33,52.11
1988,624401.00,387906000.00,511671.00,5252625.00,61.16,89.67,53.46,54.23
1989,669026.00,417945400.00,566512.00,5657700.00,64.21,91.7,56.54,56.85
1990,692997.00,450225300.00,615673.00,5979575.00,67.28,94.53,61.1,59.92
1991,699253.00,478791600.00,647966.00,6174050.00,71.06,97.6,65.66,62.46
1992,716019.00,491301900.00,672170.00,6539300.00,72.12,99.32,68.67,64.35
1993,744608.00,494651600.00,707734.00,6878700.00,73.47,100.55,70.43,66.25
1994,789507.00,501537700.00,745196.00,7308775.00,73.59,101.25,71.99,67.98
1995,828973.00,512541700.00,846536.00,7639749.00,75.17,101.12,73.93,69.88
1996,857023.00,525806900.00,903432.00,8073122.00,76.35,101.26,76.04,71.93
1997,903902.00,534142500.00,948953.00,8577552.00,77.59,103.03,77.71,73.61
1998,937295.00,527876900.00,991238.00,9062817.00,78.36,103.71,79.13,74.76
1999,1004456.00,519651800.00,1031158.00,9630663.00,79.72,103.36,80.52,76.39
2000,1102380.00,526706000.00,1089341.00,10252347.00,81.89,102.66,81.47,78.97
2001,1140505.00,523005000.00,1129443.00,10581822.00,83.96,101.9,82.72,81.2
2002,1189452.00,515986200.00,1182956.00,10936418.00,85.85,100.96,83.97,82.49
2003,1250315.00,515400700.00,1251847.00,11458246.00,88.22,100.7,85.13,84.36
2004,1331178.00,520965400.00,1312854.00,12213730.00,89.86,100.69,86.31,86.62
2005,1417028.00,524132800.00,1388753.00,13036637.00,91.85,100.41,88.12,89.56
2006,1492207.00,526879700.00,1465902.00,13814609.00,93.69,100.66,90.28,92.45
2007,1573532.00,531688200.00,1541442.00,14451860.00,95.69,100.72,92.44,95.09
2008,1652923.00,520715700.00,1579796.00,14712845.00,97.96,102.11,95.69,98.74
2009,1567365.00,489501000.00,1537213.00,14448932.00,98.25,100.73,97.57,98.39
2010,1662130.00,500353900.00,1587466.00,14992052.00,100,100,100,100
2011,1769921.00,491408500.00,1644546.00,15542582.00,102.91,99.73,103.86,103.16
2012,1822808.00,494957200.00,1694417.00,16197007.00,104.47,99.68,106.53,105.29
2013,1897531.00,503175600.00,1761347.00,16784851.00,105.45,100.03,108.97,106.83
2014,1990183.00,513876000.00,1844295.00,17521747.00,107.46,102.79,110.55,108.57
2015,1994911.00,531319800.00,1895839.00,18219297.00,108.67,103.6,110.96,108.7
2016,2035506.00,535986400.00,1969524.00,18707189.00,110.22,103.48,112.08,110.07
2017,2144395.00,545121900.00,2049629.00,19485394.00,111.98,103.96,114.94,112.41
