DATE,USCPI,CP0000EZ19M086NEST,USDperEUR
1/1/1999,164.7,73.56,1.1591
2/1/1999,164.7,73.72,1.1203
3/1/1999,164.8,73.97,1.0886
4/1/1999,165.9,74.23,1.0701
5/1/1999,166,74.28,1.063
6/1/1999,166,74.27,1.0377
7/1/1999,166.7,74.38,1.037
8/1/1999,167.1,74.47,1.0605
9/1/1999,167.8,74.55,1.0497
10/1/1999,168.1,74.58,1.0706
11/1/1999,168.4,74.69,1.0328
12/1/1999,168.8,74.95,1.011
1/1/2000,169.3,74.98,1.0131
2/1/2000,170,75.22,0.9834
3/1/2000,171,75.49,0.9643
4/1/2000,170.9,75.57,0.9449
5/1/2000,171.2,75.66,0.9059
6/1/2000,172.2,75.92,0.9505
7/1/2000,172.7,75.99,0.9386
8/1/2000,172.7,76.05,0.9045
9/1/2000,173.6,76.38,0.8695
10/1/2000,173.9,76.42,0.8525
11/1/2000,174.2,76.58,0.8552
12/1/2000,174.6,76.87,0.8983
1/1/2001,175.6,76.55,0.9376
2/1/2001,176,76.78,0.9205
3/1/2001,176.1,77.19,0.9083
4/1/2001,176.4,77.66,0.8925
5/1/2001,177.3,78.03,0.8753
6/1/2001,177.7,78.14,0.853
7/1/2001,177.4,77.96,0.8615
8/1/2001,177.4,77.9,0.9014
9/1/2001,178.1,78.12,0.9114
10/1/2001,177.6,78.18,0.905
11/1/2001,177.5,78.13,0.8883
12/1/2001,177.4,78.48,0.8912
1/1/2002,177.7,78.58,0.8832
2/1/2002,178,78.7,0.8707
3/1/2002,178.5,79.15,0.8766
4/1/2002,179.3,79.51,0.886
5/1/2002,179.5,79.65,0.917
6/1/2002,179.6,79.61,0.9561
7/1/2002,180,79.53,0.9935
8/1/2002,180.5,79.59,0.9781
9/1/2002,180.8,79.79,0.9806
10/1/2002,181.2,79.98,0.9812
11/1/2002,181.5,79.92,1.0013
12/1/2002,181.8,80.3,1.0194
1/1/2003,182.6,80.26,1.0622
2/1/2003,183.6,80.58,1.0785
3/1/2003,183.9,81.05,1.0797
4/1/2003,183.2,81.18,1.0862
5/1/2003,182.9,81.13,1.1556
6/1/2003,183.1,81.23,1.1674
7/1/2003,183.7,81.11,1.1365
8/1/2003,184.5,81.23,1.1155
9/1/2003,185.1,81.52,1.1267
10/1/2003,184.9,81.64,1.1714
11/1/2003,185,81.67,1.171
12/1/2003,185.5,81.92,1.2298
1/1/2004,186.3,81.74,1.2638
2/1/2004,186.7,81.93,1.264
3/1/2004,187.1,82.45,1.2261
4/1/2004,187.4,82.87,1.1989
5/1/2004,188.2,83.14,1.2
6/1/2004,188.9,83.19,1.2146
7/1/2004,189.1,83.01,1.2266
8/1/2004,189.2,83.17,1.2191
9/1/2004,189.8,83.27,1.2224
10/1/2004,190.8,83.59,1.2507
11/1/2004,191.7,83.53,1.2997
12/1/2004,191.7,83.85,1.3406
1/1/2005,191.6,83.33,1.3123
2/1/2005,192.4,83.64,1.3013
3/1/2005,193.1,84.25,1.3185
4/1/2005,193.7,84.61,1.2943
5/1/2005,193.6,84.79,1.2697
6/1/2005,193.7,84.89,1.2155
7/1/2005,194.9,84.79,1.2041
8/1/2005,196.1,84.99,1.2295
9/1/2005,198.8,85.44,1.2234
10/1/2005,199.1,85.66,1.2022
11/1/2005,198.1,85.47,1.1789
12/1/2005,198.1,85.76,1.1861
1/1/2006,199.3,85.38,1.2126
2/1/2006,199.4,85.62,1.194
3/1/2006,199.7,86.11,1.2028
4/1/2006,200.7,86.69,1.2273
5/1/2006,201.3,86.93,1.2767
6/1/2006,201.8,86.99,1.2661
7/1/2006,202.9,86.89,1.2681
8/1/2006,203.8,86.97,1.281
9/1/2006,202.8,86.97,1.2722
10/1/2006,201.9,87.04,1.2617
11/1/2006,202,87.07,1.2888
12/1/2006,203.1,87.41,1.3205
1/1/2007,203.437,86.97,1.2993
2/1/2007,204.226,87.22,1.308
3/1/2007,205.288,87.8,1.3246
4/1/2007,205.904,88.36,1.3513
5/1/2007,206.755,88.57,1.3518
6/1/2007,207.234,88.66,1.3421
7/1/2007,207.603,88.45,1.3726
8/1/2007,207.667,88.51,1.3626
9/1/2007,208.547,88.85,1.391
10/1/2007,209.19,89.29,1.4233
11/1/2007,210.834,89.77,1.4683
12/1/2007,211.445,90.13,1.4559
1/1/2008,212.174,89.81,1.4728
2/1/2008,212.687,90.13,1.4759
3/1/2008,213.448,91.01,1.552
4/1/2008,213.942,91.31,1.5754
5/1/2008,215.208,91.88,1.5554
6/1/2008,217.463,92.23,1.5562
