observation_date,PCU,NER,REER
1986-01-01,1421.97981590042,186.85,100
1986-04-01,1421.24498181356,188.67,98.45
1986-07-01,1319.09763333333,194.12,101.15
1986-10-01,1316.89301893997,201.69,100.5
1987-01-01,1396.25927726695,206.15,101.72
1987-04-01,1524.86194240112,214.1,103.4
1987-07-01,1752.67290000000,224.59,103.97
1987-10-01,2450.80256666667,232.77,107.76
1988-01-01,2449.33301062571,242.36,110.83
1988-04-01,2422.14260758616,245.11,110.43
1988-07-01,2282.51628178813,246.51,105.83
1988-10-01,3245.20068485311,246.02,104.89
1989-01-01,3250.34466362711,247.58,101.76
1989-04-01,2799.86734393361,255.21,99.07
1989-07-01,2715.87143182373,276.36,102
1989-10-01,2622.76310607910,288.3,101.81
1990-01-01,2450.06770454661,295.38,101.21
1990-04-01,2669.79473029378,296.73,96.4
1990-07-01,2921.85647425283,302.37,96.77
1990-10-01,2603.65629849294,324.25,101.42
1991-01-01,2434.63526362712,338.3,102.36
1991-04-01,2343.29067425028,341.66,93.48
1991-07-01,2262.00837521820,351.45,91.5
1991-10-01,2314.07481695353,364.79,93.55
1992-01-01,2197.08579906209,355.55,89.55
1992-04-01,2243.30793679708,349.33,86.35
1992-07-01,2486.78972958832,368.37,91.31
1992-10-01,2212.06544784902,376.93,86.51
1993-01-01,2209.59185496928,390.04,87.01
1993-04-01,1870.28100292460,403.13,89.87
1993-07-01,1912.22039763947,406.88,86.57
1993-10-01,1667.73103582713,417.01,84.27
1994-01-01,1861.77343346100,429.9,85.34
1994-04-01,2129.65318687541,423.33,83.58
1994-07-01,2453.94301314036,418.28,83.06
1994-10-01,2776.75638719889,409.25,80.48
1995-01-01,2931.12867708740,409.39,81.1
1995-04-01,2884.71400738322,381.34,77.47
1995-07-01,3009.00376578165,386.26,74.76
1995-10-01,2903.29928544769,409.31,76.78
1996-01-01,2571.00553406372,410.32,75.53
1996-04-01,2476.84562718506,408.11,72.89
1996-07-01,1978.95447872416,411.18,72.65
1996-10-01,2146.73986651102,419.15,72.66
1997-01-01,2418.02952144979,418.2,69.3
1997-04-01,2504.63459496053,417.84,67.99
1997-07-01,2267.86843387299,415.52,65.88
1997-10-01,1910.21596827698,425.34,66.05
1998-01-01,1699.58638643951,451.55,67.71
1998-04-01,1729.45939784546,454.45,67.08
1998-07-01,1640.78816588135,468.64,68.03
1998-10-01,1544.99599830983,466.32,69.05
1999-01-01,1407.80910038327,487.46,70.87
1999-04-01,1465.44381977671,489.72,69.56
1999-07-01,1678.53391053391,518.01,74.59
1999-10-01,1738.31359816654,540,78.46
2000-01-01,1796.89166666667,512.31,73.06
2000-04-01,1739.69268445323,520.09,72.56
2000-07-01,1874.05320910973,552.55,76.59
2000-10-01,1847.45833333333,572.28,77.56
2001-01-01,1765.11363636364,574.35,78.79
2001-04-01,1653.76375661376,606.36,80.23
2001-07-01,1473.62639553429,669.8,87.54
2001-10-01,1428.17210919941,689.83,87.55
2002-01-01,1558.99575757576,669.71,83.67
2002-04-01,1612.06286676287,659.36,84.44
2002-07-01,1516.71159420290,707.57,93.28
2002-10-01,1553.39057971014,719.08,93.86
2003-01-01,1662.71640692641,736.63,100.61
2003-04-01,1641.35821428571,710.47,97.96
2003-07-01,1753.07384716732,693.82,95.86
2003-10-01,2060.29777432712,625.83,89.99
2004-01-01,2724.49209972395,587.85,87.96
2004-04-01,2781.49756778310,628.8,93.25
2004-07-01,2854.72582972583,628.47,93.57
2004-10-01,3093.16652236652,593.17,91.4
2005-01-01,3264.70158730159,578.27,90.66
2005-04-01,3387.14559884560,581.41,89.1
2005-07-01,3750.34812409812,552.93,83.43
2005-10-01,4303.78358585859,526.43,78.78
2006-01-01,4947.50360593513,526.37,79.32
2006-04-01,7228.80254930255,526.82,81.12
2006-07-01,7679.87698412699,539.27,83.07
2006-10-01,7069.22607655503,528.69,81.2
2007-01-01,5957.59545454545,540.36,83.8
2007-04-01,7648.51086048455,526.93,83.18
2007-07-01,7717.49545454546,520.13,80.99
