DATE,CLVMNACSCAB1GQRO,CLVMNACNSAB1GQRO
1/1/1995,87136.7,70509.4
4/1/1995,87534.5,76678.6
7/1/1995,89328.4,103863.4
10/1/1995,86845.4,102077.3
1/1/1996,89722,72854.4
4/1/1996,91375.6,80301.1
7/1/1996,92058.7,105978.1
10/1/1996,91871.4,107774.7
1/1/1997,89702.5,73819.3
4/1/1997,88097.2,77889
7/1/1997,86664.1,98135.7
10/1/1997,86127.3,100073.4
1/1/1998,86982.6,72585.6
4/1/1998,85932.2,76781.2
7/1/1998,85080.8,95492
10/1/1998,85226.3,98098.5
1/1/1999,84856,71176
4/1/1999,84620.8,76340.1
7/1/1999,85543.9,95538.8
10/1/1999,86296,98401.1
1/1/2000,87148.7,73280.8
4/1/2000,88352.7,80575.2
7/1/2000,87009.8,97202
10/1/2000,87593.6,99041.4
1/1/2001,89856.2,75262.2
4/1/2001,90695.1,82961.3
7/1/2001,92489.8,104024.5
10/1/2001,93269.6,105642.2
1/1/2002,95345.3,79131
4/1/2002,96346,87923.6
7/1/2002,96734.4,109682.5
10/1/2002,98436.7,112047
1/1/2003,96810.7,79629.3
4/1/2003,98123.9,89336.2
7/1/2003,100202.1,114226.2
10/1/2003,100505.9,114590.7
1/1/2004,105101.3,85960
4/1/2004,107110.1,97560
7/1/2004,110706.9,126352.6
10/1/2004,112453.3,129000.2
1/1/2005,112848.2,91750
4/1/2005,112374.4,102937
7/1/2005,114581.7,129843
10/1/2005,117428.5,134908.8
1/1/2006,119196.5,96217.1
4/1/2006,123380.6,114689.8
7/1/2006,124541.8,140559.9
10/1/2006,126302.9,144837.4
1/1/2007,127887.9,102684.2
4/1/2007,130856.9,122666.9
7/1/2007,132636.5,149288.4
10/1/2007,137724.3,157387.1
1/1/2008,141303.8,113314.9
4/1/2008,144928.3,136462.5
7/1/2008,146796.8,165789.7
10/1/2008,145912.6,166507
1/1/2009,134400.2,107403.7
4/1/2009,135251.6,127056.5
7/1/2009,137589.2,155495.8
10/1/2009,139345.1,159802.7
1/1/2010,130395.1,104041.4
4/1/2010,131371.3,123256.9
7/1/2010,130749.9,147744.3
10/1/2010,133295,153204.5
1/1/2011,132751.3,105560.8
4/1/2011,133026.6,124900.2
7/1/2011,135844.1,153868.5
10/1/2011,134710,154625.2
1/1/2012,136011.5,107886.4
4/1/2012,137379.1,129617.1
7/1/2012,137053.7,154584.5
10/1/2012,137702.7,157963.3
1/1/2013,138981.3,110285.9
4/1/2013,140796.8,131740
7/1/2013,142351.6,161130.4
10/1/2013,144100.6,166144.7
1/1/2014,144749.2,115258.6
4/1/2014,145389.6,134711
7/1/2014,147464.4,167211.4
10/1/2014,148717.1,171586.7
1/1/2015,150402.3,120262.1
4/1/2015,150739.7,139295.8
7/1/2015,153131.3,173578.4
10/1/2015,154922.1,178439.9
1/1/2016,156848.9,125416.2
4/1/2016,159131.7,147617.9
7/1/2016,159537.8,180955.9
10/1/2016,162690.6,186918.2
1/1/2017,166426.3,132539.1
4/1/2017,169045.7,156671.1
7/1/2017,172153.6,196956.8
10/1/2017,173557.4,199681.4
1/1/2018,174135.2,137850.8
4/1/2018,176485.8,163065
7/1/2018,178755.2,205265
10/1/2018,180467.9,207768.9
1/1/2019,182707.6,144675.5
4/1/2019,184578.7,170295.8
